subject,n_test,accuracy,balanced_acc,macro_f1
S10,426,0.8450704225352113,0.6834581347855684,0.666402837941423
S11,417,1.0,1.0,1.0
S13,417,0.8393285371702638,0.6666666666666666,0.6236351958895311
S14,417,0.8537170263788969,0.8282688795963132,0.8382308204259585
S15,418,0.8444976076555024,0.7211928466076696,0.709647447154193
S16,415,0.8771084337349397,0.745575221238938,0.7412944231921804
S17,426,0.5469483568075117,0.6010051349284388,0.4839950488607235
S2,395,0.8050632911392405,0.7846299791990178,0.7526205450733752
S3,401,0.8379052369077307,0.817679987560255,0.7691742954260695
S4,404,0.8391089108910891,0.6666666666666666,0.6240995415848068
S5,414,0.857487922705314,0.6974358974358975,0.6842869573731735
S6,412,0.5509708737864077,0.3384615384615384,0.24662638948353233
S7,411,0.7420924574209246,0.5508474576271186,0.5337104966998205
S8,412,0.9611650485436893,0.9292674731182796,0.9466257135102452
S9,411,0.9586374695863747,0.9420782206477982,0.9349131286663269
