subject,n_test,accuracy,balanced_acc,macro_f1
S10,426,0.8333333333333334,0.6545109211775878,0.6230450532762234
S11,417,0.9928057553956835,0.9920634920634921,0.9883503479567123
S13,417,0.8345323741007195,0.6612903225806451,0.6209251687892602
S14,417,0.697841726618705,0.6666666666666666,0.5940023068050749
S15,418,0.84688995215311,0.6666666666666666,0.6119476888125127
S16,415,0.8674698795180723,0.7923333333333332,0.7913174058072695
S17,426,0.7605633802816901,0.831661750245821,0.7484135984172177
S2,395,0.8860759493670886,0.8712038849025151,0.8480302792704645
S3,401,0.8079800498753117,0.7594524119947849,0.7311301852570914
S4,404,0.849009900990099,0.7161931161931161,0.7179620280568413
S5,414,0.8429951690821256,0.6666666666666666,0.6253968253968254
S6,412,0.8398058252427184,0.6639118457300276,0.6228124983311706
S7,411,0.8077858880778589,0.6284815145207652,0.596427454659162
S8,412,0.8932038834951457,0.7708333333333334,0.7955865272938444
S9,411,1.0,1.0,1.0
