feature,importance_mean,importance_sd
eda_scr_amp_sum,0.06560246387139218,0.003129669138089638
temp_max,0.05918796122466082,0.003997849987498112
eda_scl_mean,0.057615146955692496,0.004867353610838044
eda_scr_count,0.05485002463783421,0.004270552978002616
eda_range,0.052380121820178656,0.003987076217329526
temp_baseline_delta,0.04377641587500067,0.00342771334765102
temp_mean,0.04327351797178802,0.002155228250278811
eda_scr_amp_mean,0.04113461333473388,0.0038089920975920627
temp_min,0.04081616936883062,0.003753274636818756
acc_x_mean,0.03981765663770305,0.004169759669863293
acc_z_mean,0.0365524774847088,0.0033541714590775845
eda_scr_sd,0.03373427728122895,0.0022072343434623417
acc_mag_absint,0.03281708199528043,0.004388050640105381
eda_scl_sd,0.03255748506927867,0.002360437250688299
acc_z_absint,0.028705995165777556,0.002278048837039563
acc_y_mean,0.028620627603120955,0.0037461995034773436
hr_sd,0.02576437487473861,0.0032630217233072974
acc_z_sd,0.024878429642657754,0.002046321290550631
hr_baseline_delta,0.021875580121770887,0.003272724388747458
hr_mean,0.020884368229930513,0.0030257460006352876
acc_mag_sd,0.020823084118858814,0.0017702983006821296
hr_min,0.019477989569122153,0.0023331821742504344
acc_x_absint,0.01878148554585104,0.0023214874691152732
eda_scr_duration_sum,0.017895891136543083,0.002535467879224428
acc_x_sd,0.01743227823517995,0.0026169627068451007
hr_range,0.016388554109009114,0.001872309014108594
acc_mag_mean,0.015565678890203745,0.00199942641717371
hr_max,0.014291693662117414,0.0019402224088645584
eda_slope,0.011457230020063857,0.00133245989126577
temp_slope,0.01043171337608516,0.0008940334123745564
temp_range,0.010145487957413142,0.0018154105785557902
acc_y_sd,0.009591794292476287,0.0007052173663543667
acc_x_peakfreq,0.00951162473746214,0.0010067142919965625
acc_y_absint,0.00881893507215527,0.0004395621881331316
eda_scr_risetime_mean,0.005679847418443815,0.0006439259702932125
acc_y_peakfreq,0.00440770360963381,0.0003940487637438227
acc_z_peakfreq,0.0028521971233718404,0.00022784840616924036
hr_slope,0.0012050437763455985,0.0001805357642403654
eda_range_gated,0.00019300089393596437,8.372649424533822e-05
motion_fraction,0.0001126172865887294,3.0536179968324816e-05
hr_delta_x_still,7.088783070496319e-05,2.794457234721625e-05
motion_flag,2.047217212638521e-05,2.0898344411654018e-05
