subject,n_test,accuracy,balanced_acc,macro_f1
S10,426,0.8685446009389671,0.8373790854616813,0.8515347576986937
S11,417,0.7985611510791367,0.6320387705987925,0.6174479663816729
S13,417,0.7649880095923262,0.5869730707013036,0.5530801090911039
S14,417,0.592326139088729,0.3935711944561502,0.34926745350198124
S15,418,0.7583732057416268,0.7166297935103244,0.6972284201943991
S16,415,0.9060240963855422,0.8454092920353983,0.8468818620992534
S17,426,0.7370892018779343,0.6804939952432578,0.6853240521014609
S2,395,0.7012658227848101,0.5775149272542897,0.5692072777895115
S3,401,0.6533665835411472,0.45762711864406774,0.43648882235095865
S4,404,0.8292079207920792,0.6606606606606606,0.6155198713148625
S5,414,0.8067632850241546,0.6246498599439776,0.5948624259536068
S6,412,0.8980582524271845,0.7846153846153846,0.8032354797979798
S7,411,0.7980535279805353,0.6199078203984537,0.5781943092069675
S8,412,0.8058252427184466,0.6236559139784946,0.5931731104144897
S9,411,0.8442822384428224,0.6717948717948717,0.6355836355836356
