feature,importance_mean,importance_sd
eda_scr_amp_sum,0.08713335337252363,0.004665916224898528
acc_x_mean,0.06533400545903513,0.00525944766278993
eda_scr_count,0.054005411351471515,0.005118792006970497
eda_scl_mean,0.05384749071942442,0.00669260211271785
acc_y_mean,0.046864201115442566,0.0026018335246146785
acc_z_mean,0.04626904161057248,0.004869795887249284
eda_range,0.0422548282275849,0.004219550314188119
eda_scr_amp_mean,0.03981023216156657,0.0035940838043202086
acc_z_sd,0.03891627400930487,0.0023220225685992944
acc_mag_absint,0.033403577087703876,0.002819370863379022
eda_scr_sd,0.03317725235848048,0.004826773309312739
acc_z_absint,0.03280514578533666,0.002258720909093512
eda_scl_sd,0.03271771098429623,0.0036612698779443166
hr_min,0.03091582479018083,0.00403130904092495
hr_baseline_delta,0.029372288970369417,0.004158826678064585
acc_mag_sd,0.029069426346239886,0.0024307953954076592
hr_mean,0.0282832409436606,0.003928503097546247
acc_mag_mean,0.02815091899867719,0.003014604675663024
eda_scr_duration_sum,0.027289727115966743,0.005403233476342422
eda_slope,0.02210561083175417,0.0021098985323327207
acc_x_absint,0.02195214469411614,0.0023389132795081334
eda_range_gated,0.021229151599787385,0.0024099969340654814
acc_x_sd,0.019322764422862303,0.00222867086194604
hr_max,0.018424272734595324,0.0024699544487316164
hr_sd,0.014980802552197586,0.0020490149833324828
hr_delta_x_still,0.014667474965004878,0.001447878750161172
acc_y_absint,0.014354186593997417,0.0010134956098600742
acc_y_sd,0.01342644358485399,0.0010102991728031877
hr_range,0.012382862460999644,0.0014064416674814052
acc_x_peakfreq,0.011358677411811036,0.0011251489052807183
acc_y_peakfreq,0.008029543941252399,0.00040390364094036957
eda_scr_risetime_mean,0.007910960965661084,0.0009241775788459016
motion_fraction,0.00778494782824581,0.0008990438816885557
acc_z_peakfreq,0.005714032870732433,0.00035474031363285323
motion_flag,0.003451106370570277,0.000815406244615303
hr_slope,0.0032850647637201556,0.0005200159342153366
