subject,n_test,accuracy,balanced_acc,macro_f1
S10,426,0.9107981220657277,0.8194177613056669,0.8533849260152723
S11,417,1.0,1.0,1.0
S13,417,0.8369304556354916,0.6651917404129793,0.6229086229086229
S14,417,0.6618705035971223,0.6007034263671431,0.5579857528862687
S15,418,0.7177033492822966,0.5569459808259587,0.5723926077340219
S16,415,0.8963855421686747,0.7835084808259586,0.7940906373025358
S17,426,0.8075117370892019,0.860789652825051,0.7890040548525786
S2,395,0.8784810126582279,0.8691468775115277,0.8418896467954605
S3,401,0.8329177057356608,0.8084311169056931,0.7597436024324664
S4,404,0.8391089108910891,0.6666666666666666,0.620010626286777
S5,414,0.7777777777777778,0.5910364145658263,0.5684570826750922
S6,412,0.5485436893203883,0.3333333333333333,0.2361546499477534
S7,411,0.8369829683698297,0.6610169491525424,0.621115305627734
S8,412,0.9684466019417476,0.9398521505376344,0.9528276747921732
S9,411,0.9708029197080292,0.9494408675025415,0.9533788915957949
