feature,importance_mean,importance_sd
temp_max,0.0701278283258929,0.004251878761750847
eda_scl_mean,0.06664683069047111,0.005023124734988124
eda_range,0.061197646469259154,0.0041725249895257855
temp_baseline_delta,0.05537172172058479,0.0028929198479569007
temp_mean,0.052598455592769724,0.0037504974587704984
temp_min,0.048240789454490014,0.0033254308968137538
eda_scr_amp_sum,0.0448151264370714,0.002679198851404532
acc_z_mean,0.04299833102954904,0.005344525885895731
eda_scl_sd,0.04070557190831339,0.005388873480521454
acc_x_mean,0.040686746187211416,0.004868899500873378
eda_scr_count,0.03815667758670185,0.005962459044724612
eda_scr_sd,0.035513934865273676,0.0026677774414838817
acc_y_mean,0.03284585957120672,0.004207907779391245
acc_mag_absint,0.032375626878792675,0.004217526741486762
hr_sd,0.029676492496542015,0.004837993993532417
acc_z_sd,0.02412063632899907,0.001920605710155596
acc_mag_sd,0.023533067283840376,0.0031386386122498953
acc_z_absint,0.01973353939200809,0.0015744526660336645
acc_x_absint,0.019501956866287765,0.0030561211768141555
hr_baseline_delta,0.019144932557094853,0.0028551293294666697
hr_mean,0.018953353295635987,0.0027118628896915025
hr_min,0.018384643161471738,0.002028254984823333
hr_range,0.017367718957752295,0.0022904470576353493
acc_mag_mean,0.016787692613492347,0.0014793656000289658
acc_x_sd,0.015769814197034684,0.0019936089744096806
eda_scr_amp_mean,0.015749895600073924,0.001618763858570164
acc_x_peakfreq,0.012905837652796527,0.001998895402346389
temp_slope,0.012427022017707111,0.0018830841922096915
eda_slope,0.01193252803923192,0.0009521269191587645
hr_max,0.010972635754390858,0.0013317713711857564
eda_scr_duration_sum,0.010763294530227728,0.0010293675209374286
acc_y_sd,0.007782897807117808,0.000526835113999675
acc_y_absint,0.0069070885437918506,0.0004264730579246754
temp_range,0.006744250285147789,0.0006658282798137954
eda_scr_risetime_mean,0.005545169050009915,0.0005257625594301666
acc_y_peakfreq,0.0035014340075656004,0.00029668762084157424
acc_z_peakfreq,0.0027354332026339858,0.0003129418620607707
hr_delta_x_still,0.0016829323091538085,0.0004339070262011393
motion_fraction,0.0015224609015551801,0.0003617369838390872
eda_range_gated,0.0014539488176285973,0.00034321800523614437
hr_slope,0.001172336989959827,0.00022114036100768803
motion_flag,0.0009458406232605782,0.00028116941800058006
