subject,n_test,accuracy,balanced_acc,macro_f1
S10,426,0.8075117370892019,0.6316508248661641,0.5991517112876337
S11,417,0.8009592326139089,0.7050577756800224,0.7148105396087009
S13,417,0.7985611510791367,0.6306737082500713,0.5898545413908618
S14,417,0.8129496402877698,0.7754225780774453,0.7952398981558937
S15,418,0.868421052631579,0.8255438790560472,0.8157527294329867
S16,415,0.9036144578313253,0.862601401179941,0.853723000003562
S17,426,0.9107981220657277,0.8629335484792712,0.8903847612545985
S2,395,0.7291139240506329,0.6265822825405806,0.6316229429253382
S3,401,0.6359102244389028,0.45627987831377664,0.4485795158222919
S4,404,0.7970297029702971,0.6411411411411412,0.5885347498893315
S5,414,0.821256038647343,0.6573021181716834,0.614608709514649
S6,412,0.8470873786407767,0.6829497399891608,0.6391294655321519
S7,411,0.9124087591240876,0.8800136477656549,0.8770811207401833
S8,412,0.837378640776699,0.6622023809523809,0.6227897838899804
S9,411,0.8467153284671532,0.7071751777634131,0.7218655060590544
