feature,importance_mean,importance_sd
eda_scr_amp_sum,0.0747288588050287,0.004130651325617073
eda_scl_mean,0.0646276623109358,0.005720631085825269
hr_min,0.05987461965444426,0.005973854418351146
eda_range,0.056764329050994135,0.00551127679702018
eda_scr_count,0.05647762658873416,0.0050574098550123245
hr_sd,0.05200385629985672,0.004240070749729823
acc_mag_absint,0.051307718590992195,0.0036667876043856348
eda_scr_sd,0.049022810532279054,0.0020333300799089964
acc_z_absint,0.04475244745060991,0.003310307478250956
acc_z_sd,0.04418863518017353,0.004023253792189555
eda_scr_amp_mean,0.04240639035583069,0.003924511170197691
eda_scl_sd,0.038650434347879285,0.002822631290454886
hr_mean,0.03666642164202726,0.0034728769518772317
hr_baseline_delta,0.036542686673199286,0.0031620712758766165
acc_mag_sd,0.03438361706186932,0.0021627323231577437
hr_range,0.03248792181614203,0.002220597836360986
acc_x_absint,0.02960679734042613,0.0022039007593771197
acc_x_sd,0.027181396647666847,0.001968625643345703
hr_max,0.025402593660508885,0.0023172883099946084
eda_slope,0.022819589150770456,0.0022565062960865833
eda_scr_duration_sum,0.022627822405008016,0.002890626534463743
acc_y_absint,0.022138915874267265,0.0016181600210572209
acc_x_peakfreq,0.02087459096520317,0.0019873782669791403
acc_y_sd,0.020304261285940206,0.001194601074390845
acc_y_peakfreq,0.010589750854716045,0.0007867460968597019
eda_scr_risetime_mean,0.0091508204987763,0.0008268043389684391
acc_z_peakfreq,0.009073273425570072,0.0006860574745819673
hr_slope,0.004619975087647384,0.0005719019250977838
motion_fraction,0.0002507272837049198,4.548776281767622e-05
eda_range_gated,0.0002369632738530089,4.913772089329817e-05
hr_delta_x_still,0.0001961703791850509,4.5440130763195186e-05
motion_flag,4.0315505759988e-05,1.435438198703496e-05
