feature,importance_mean,importance_sd
eda_scr_amp_sum,0.0876204512579478,0.005053058337941738
eda_scl_mean,0.07103580585311281,0.006468317622349355
eda_scr_count,0.06215748067185255,0.005637745121475742
acc_z_sd,0.047968122144314194,0.00259806734446777
eda_range,0.04619885978073999,0.0044941259638894854
eda_scr_sd,0.04437295810280015,0.004857914356492761
acc_z_absint,0.043386510415189254,0.002517074369525285
acc_mag_absint,0.039725408948574785,0.00302163417094524
eda_scr_amp_mean,0.03855388847963592,0.0028077536278059223
hr_min,0.038232345118397786,0.0035483272029895167
eda_scl_sd,0.03785723938424035,0.004215713162696233
acc_mag_sd,0.03339137641445736,0.002375850662148225
eda_scr_duration_sum,0.03334105972171361,0.004742541760520083
hr_baseline_delta,0.03282937941508747,0.004004084699571713
hr_mean,0.032517044824831746,0.003544560147075682
eda_slope,0.029550892157157164,0.0022436601302231935
acc_x_absint,0.029439208622451297,0.0021074428359390595
eda_range_gated,0.027789741875399492,0.002551363839115384
acc_x_sd,0.0248697587694112,0.001731473598253319
hr_max,0.02385788130265067,0.0026626132727114267
hr_sd,0.022454095939745407,0.001985840809497556
hr_delta_x_still,0.022076154348298217,0.002221446939311714
acc_y_absint,0.02068154955879559,0.0013140386771865536
acc_x_peakfreq,0.018870340895240215,0.001653952333447204
acc_y_sd,0.01825828118015817,0.000863600761179151
hr_range,0.018242267396089216,0.0012794253547606625
eda_scr_risetime_mean,0.012592765490940981,0.0013217959718012412
acc_y_peakfreq,0.012395096482288663,0.0006539593946682892
motion_fraction,0.009834728179393248,0.0009515455902241854
acc_z_peakfreq,0.009745490324991687,0.00038909059828695614
motion_flag,0.005107247542921162,0.0011074022635515345
hr_slope,0.005046569401171848,0.0007316395684412788
