subject,n_test,accuracy,balanced_acc,macro_f1
S10,426,0.7605633802816901,0.7768390355411005,0.7419129865743065
S11,417,0.8057553956834532,0.660477924037946,0.6660959122228279
S13,417,0.7697841726618705,0.5887096774193549,0.5559333927077429
S14,417,0.6091127098321343,0.41091913658285334,0.38504733218588644
S15,418,0.6435406698564593,0.593565634218289,0.5530577943819296
S16,415,0.8698795180722891,0.7896847345132744,0.7848243196747675
S17,426,0.7511737089201878,0.7026153678071082,0.7089691275206299
S2,395,0.6126582278481013,0.4171690523975649,0.39689043524792195
S3,401,0.655860349127182,0.4617477841704245,0.4399056228324521
S4,404,0.8267326732673267,0.6591591591591591,0.6175455116133083
S5,414,0.8285024154589372,0.6498599439775911,0.6145677161419291
S6,412,0.9368932038834952,0.8761602034329307,0.9051899243521649
S7,411,0.9051094890510949,0.8514227223861478,0.874282481752993
S8,412,0.8058252427184466,0.6236559139784946,0.5931731104144897
S9,411,0.8345498783454988,0.6622613803230544,0.6105243857719106
