feature,importance_mean,importance_sd
eda_scl_mean,0.13275004505610696,0.007468226664290917
eda_scr_amp_sum,0.12904887299024434,0.005614153393966997
acc_mag_mean,0.0968042264567671,0.006521743111459553
eda_scr_count,0.0808746009878816,0.0054776272888521415
eda_range,0.07290350248568872,0.007373552533362785
hr_baseline_delta,0.07206307734747645,0.005852825834992668
hr_mean,0.07029291319714519,0.00599521895535113
eda_scr_sd,0.06172591918459262,0.006329024825227439
eda_scl_sd,0.060259786674659956,0.0043476965117760355
eda_slope,0.054633452866512625,0.004135943229411961
eda_scr_amp_mean,0.05436863122127433,0.004985492607091266
hr_sd,0.04177843771075444,0.0033333235944095936
eda_scr_duration_sum,0.03366853332727828,0.007794775280512526
eda_scr_risetime_mean,0.0186454329555869,0.0015329408450541092
hr_slope,0.011039502323989927,0.00108597765507832
motion_flag,0.009143065214040569,0.0020798326985578337
