subject,n_test,accuracy,balanced_acc,macro_f1
S10,426,0.8051643192488263,0.629181689063695,0.5970514521598113
S11,417,0.7769784172661871,0.6380148241381721,0.6540925535122099
S13,417,0.7937649880095923,0.6216576267960795,0.5819822360073311
S14,417,0.6354916067146283,0.5026916053464726,0.5033486399306154
S15,418,0.7990430622009569,0.7081028761061946,0.6958594078073247
S16,415,0.908433734939759,0.8580844395280236,0.8565604068454783
S17,426,0.8896713615023474,0.8961576280160352,0.8922490976912058
S2,395,0.660759493670886,0.5322068860679602,0.5464734238803558
S3,401,0.5985037406483791,0.39548022598870053,0.3601807682651268
S4,404,0.7871287128712872,0.6351351351351351,0.587843175982619
S5,414,0.8381642512077294,0.663768115942029,0.621186530698959
S6,412,0.837378640776699,0.6770500349744116,0.6307278639099211
S7,411,0.9318734793187348,0.8889838132924663,0.9126815265113137
S8,412,0.8446601941747572,0.6666666666666666,0.625
S9,411,0.8248175182481752,0.6497242068633621,0.6107605771582293
