subject,n_test,accuracy,balanced_acc,macro_f1
S10,426,0.7934272300469484,0.6327433628318584,0.582173294141571
S11,417,0.7074340527577938,0.518144491643941,0.506610681564127
S13,417,0.7697841726618705,0.6020553811019127,0.5654419965069545
S14,417,0.6498800959232613,0.6569263905547091,0.5469683696721649
S15,418,0.6626794258373205,0.7173672566371682,0.6399079371429699
S16,415,0.8506024096385543,0.7480180678466076,0.7384474751265833
S17,426,0.647887323943662,0.4717032666885174,0.45172267826462265
S2,395,0.6354430379746835,0.46199539338101586,0.4652713178294574
S3,401,0.6334164588528678,0.44280308920333805,0.4264827995255042
S4,404,0.8168316831683168,0.6531531531531531,0.6173333333333333
S5,414,0.8067632850241546,0.6449275362318841,0.5932633420822397
S6,412,0.8228155339805825,0.6548672566371682,0.5871869613831558
S7,411,0.7956204379562044,0.632074536624046,0.5802194705781062
S8,412,0.8033980582524272,0.6353686635944701,0.606342609569599
S9,411,0.8807785888077859,0.7630187554520284,0.7853435228692608
