feature,importance_mean,importance_sd
eda_scl_mean,0.20959686186232301,0.007858034256250215
eda_scr_amp_sum,0.13281975427314505,0.0051052080661347
eda_range,0.1308248485146901,0.011289205622899359
eda_scr_count,0.1087996955632904,0.006118145686352216
eda_scr_sd,0.0986374385439215,0.005719787022239969
eda_scl_sd,0.0925495665922298,0.003481562567858872
eda_slope,0.08082298142025995,0.0027095204978331614
eda_scr_amp_mean,0.0792636686075568,0.00812220483178716
eda_scr_risetime_mean,0.03459916584127535,0.0020423758592916373
eda_scr_duration_sum,0.03208601878130808,0.0033435241478027232
