subject,n_test,accuracy,balanced_acc,macro_f1
S10,426,0.6431924882629108,0.7708401616956189,0.6364243751646685
S11,417,0.7290167865707434,0.5935365825233667,0.5330037000622219
S13,417,0.7050359712230215,0.5695118469882957,0.5277107816780603
S14,417,0.5467625899280576,0.3491595261506766,0.2862261354071227
S15,418,0.6555023923444976,0.6308075221238938,0.5908068145290902
S16,415,0.6650602409638554,0.5896478613569321,0.5803233080449938
S17,426,0.49765258215962443,0.33390985721369204,0.29137280720738784
S2,395,0.5873417721518988,0.3773925458978193,0.3262859396105476
S3,401,0.655860349127182,0.46563520447830814,0.4469518190757129
S4,404,0.8391089108910891,0.6666666666666666,0.6240995415848068
S5,414,0.7898550724637681,0.6172086225794665,0.5979533290515949
S6,412,0.8567961165048543,0.7166093761427632,0.7284584980237154
S7,411,0.781021897810219,0.6096739022697988,0.5748498374386951
S8,412,0.808252427184466,0.634744623655914,0.6028865000984095
S9,411,0.9124087591240876,0.8190443917316164,0.8512081183822442
