subject,n_test,accuracy,balanced_acc,macro_f1
S10,426,0.8169014084507042,0.6428686685323853,0.621418465674863
S11,417,0.86810551558753,0.7916036611658859,0.8135084739054855
S13,417,0.7937649880095923,0.620444381006756,0.5831088784099376
S14,417,0.6019184652278178,0.4285555807679702,0.41892536590309654
S15,418,0.8755980861244019,0.8299686578171092,0.8217762680230325
S16,415,0.9036144578313253,0.7916666666666666,0.8027663143499896
S17,426,0.755868544600939,0.7792073216851977,0.7363427985221161
S2,395,0.7468354430379747,0.6631049073769404,0.6588114445330043
S3,401,0.6259351620947631,0.49666439402094814,0.4999126182855616
S4,404,0.801980198019802,0.6441441441441441,0.5926052387688405
S5,414,0.8260869565217391,0.6565217391304348,0.6108108108108108
S6,412,0.8495145631067961,0.688077945117366,0.6583920924691715
S7,411,0.8929440389294404,0.7839947543783404,0.8017710631256447
S8,412,0.8616504854368932,0.7132056451612904,0.72135620119389
S9,411,0.9659367396593674,0.9607843137254902,0.9467592592592592
