subject,n_test,accuracy,balanced_acc,macro_f1
S10,426,1.0,1.0,1.0
S11,417,0.8393285371702638,0.779183201058201,0.7593049528725526
S13,417,1.0,1.0,1.0
S14,417,0.8776978417266187,0.8650793650793651,0.8215002336384377
S15,418,1.0,1.0,1.0
S16,415,0.9180722891566265,0.9093333333333332,0.8775720164609053
S17,426,0.9272300469483568,0.8915479582146247,0.8852839684345888
S2,395,1.0,1.0,1.0
S3,401,1.0,1.0,1.0
S4,404,0.8712871287128713,0.778917378917379,0.7826466400257223
S5,414,0.857487922705314,0.7463046757164404,0.7488345190583607
S6,412,0.866504854368932,0.9188790560471976,0.8547212199605146
S7,411,0.9781021897810219,0.9538461538461539,0.9687549986670221
S8,412,1.0,1.0,1.0
S9,411,0.7931873479318735,0.6967463908640378,0.686236746812715
