subject,n_test,accuracy,balanced_acc,macro_f1
S10,426,0.9788732394366197,0.9666666666666667,0.9751444074916856
S11,417,0.9688249400479616,0.9484126984126984,0.9618789775324356
S13,417,0.9904076738609112,0.9838709677419355,0.98841344818005
S14,417,0.7002398081534772,0.503968253968254,0.4194723184354431
S15,418,0.9473684210526315,0.9577047413793103,0.9402810608618853
S16,415,0.6674698795180722,0.48213793103448277,0.4137938093678349
S17,426,0.9577464788732394,0.9551737304314625,0.9515823504154775
S2,395,0.9240506329113924,0.9176394903659072,0.9089190186312488
S3,401,0.8129675810473815,0.6822033898305084,0.7085784052480112
S4,404,0.9678217821782178,0.9773519163763067,0.9620977577633925
S5,414,0.9975845410628019,0.9957983193277311,0.9970442716699865
S6,412,0.9951456310679612,0.9917355371900827,0.9941210045662101
S7,411,0.9708029197080292,0.9516833458668363,0.9633842133396686
S8,412,1.0,1.0,1.0
S9,411,0.9902676399026764,0.98568262921607,0.9881124544455371
