feature,importance_mean,importance_sd
eda_scr_amp_sum,0.10645622701178166,0.006924612244967267
eda_scr_count,0.09613789139311037,0.007710702662224669
eda_range,0.07901202459689988,0.0060869383542473616
eda_scl_mean,0.07382997179798868,0.007882595748499789
eda_scr_amp_mean,0.06341054349861155,0.007619555855869868
eda_scr_sd,0.06036728027076616,0.005342168396143513
hr_sd,0.047182142593913,0.005253937021272065
eda_scl_sd,0.04470465086728848,0.004957384414700722
temp_max,0.036407142734675615,0.004605619104960087
temp_baseline_delta,0.03443262922225135,0.0034323046691488693
eda_scr_duration_sum,0.031448982190564835,0.004342940447763701
hr_range,0.03140990575631788,0.0031367123671139263
hr_mean,0.03080667093557441,0.006959765896934189
hr_baseline_delta,0.030655004135763903,0.0070671767005915705
temp_mean,0.03019490528957697,0.0029625187100304103
temp_min,0.022928590463528506,0.0020684082973440147
acc_z_mean,0.019510891533271645,0.0027555358057898076
hr_min,0.015856044818367235,0.003431171572995949
acc_mag_sd,0.014334473121387798,0.00282937611097299
acc_mag_absint,0.014055520688324163,0.002181557244192004
hr_max,0.01370743865360936,0.002565184769985009
acc_y_mean,0.012669398061554031,0.0018707911411605252
acc_x_peakfreq,0.012355069517149377,0.0011533329406128998
acc_x_mean,0.011640751692097696,0.0009244312940128902
eda_slope,0.009873781859121725,0.0011014826500702413
temp_slope,0.00862059237211204,0.001416103446159377
eda_scr_risetime_mean,0.006001805319125962,0.002997469616166188
acc_z_absint,0.005407403495785809,0.0009466073527033581
acc_x_sd,0.005153709713303947,0.0005162002016126073
acc_mag_mean,0.00513983998151186,0.0004453766553322062
acc_x_absint,0.004683788402792016,0.0004825703295240078
acc_z_sd,0.0044907766836678594,0.0006388571212543751
temp_range,0.004116277798311257,0.000589768095288078
acc_y_absint,0.004101894744328391,0.00038945011236574177
acc_y_sd,0.003789368562570344,0.0004453941417431362
acc_z_peakfreq,0.002077646547446498,0.00024675614905740855
acc_y_peakfreq,0.0019963529055253334,0.0002019209038840452
hr_slope,0.0008587047148671991,0.00014720361687283238
motion_fraction,6.531052009413784e-05,2.6392674258870915e-05
eda_range_gated,6.419665108548812e-05,3.880681942581075e-05
hr_delta_x_still,3.121170071351291e-05,2.1747743148694892e-05
motion_flag,1.3187183262094278e-05,1.2759789817621233e-05
