feature,importance_mean,importance_sd
eda_scr_amp_sum,0.15599748256204088,0.008069204319369614
eda_scr_count,0.0868257512330049,0.005307079507037247
eda_range,0.06385503739592184,0.007868717992210842
eda_scr_duration_sum,0.06071273094039499,0.010540564280751607
eda_scl_mean,0.0598772488507932,0.012967454730138892
eda_scr_amp_mean,0.05826921912182348,0.0060525788026621315
eda_scl_sd,0.041976422717346806,0.004236398818158418
eda_scr_sd,0.040315695356910486,0.00788279244729624
acc_y_mean,0.03657401485584489,0.005546406775939975
hr_baseline_delta,0.03521239744290349,0.006492924507096164
hr_mean,0.0341901015175466,0.006487407763874129
hr_min,0.02814475431072831,0.005011342308389638
hr_sd,0.026058407962454407,0.0038692808529563654
acc_mag_sd,0.025354761682294596,0.0040674510274194536
eda_range_gated,0.0240820145595349,0.003100700318734804
hr_max,0.021130327351737244,0.004882000273579052
acc_mag_absint,0.018999825959883657,0.002148317116567948
acc_x_mean,0.017584437028347333,0.0023011240960677136
hr_range,0.016670226259752396,0.0025268419713078433
acc_z_mean,0.016510407420404452,0.0017547178108521676
hr_delta_x_still,0.01327777663404257,0.0019354057934445243
acc_mag_mean,0.012987231097249393,0.0015009655087924157
eda_slope,0.012484225364978766,0.0017536173985638504
acc_y_absint,0.011099887430792241,0.001052045402331522
acc_z_absint,0.011039641930606645,0.0017179344099553073
acc_x_peakfreq,0.009659124120546628,0.0016487427318297996
acc_x_absint,0.008936906382327596,0.0010532923825099048
acc_z_sd,0.008584484785538337,0.0014740096388831895
acc_x_sd,0.007684284407584549,0.0007321328832881147
motion_fraction,0.007219208196141455,0.0015610438436485896
acc_y_sd,0.006958081302295876,0.0005878901705317377
motion_flag,0.0059123272714505315,0.0010640256318490571
eda_scr_risetime_mean,0.0049310371150018805,0.0005436282601329041
acc_z_peakfreq,0.004358084494028495,0.0006763951236119842
acc_y_peakfreq,0.004191258405664313,0.0005250347566406033
hr_slope,0.002335176532081806,0.00041237845068890273
