subject,n_test,accuracy,balanced_acc,macro_f1
S10,426,0.9835680751173709,0.9740740740740741,0.9807497401666807
S11,417,0.9688249400479616,0.9484126984126984,0.9618789775324356
S13,417,1.0,1.0,1.0
S14,417,0.6882494004796164,0.49312714776632305,0.40767045454545453
S15,418,0.8038277511961722,0.6993265086206897,0.7227937370600415
S16,415,0.9012048192771084,0.9042758620689655,0.8872499320782723
S17,426,0.9507042253521126,0.9261932035127911,0.9409688083564836
S2,395,0.8379746835443038,0.7221176175233791,0.7559468643805993
S3,401,0.8029925187032418,0.6652542372881356,0.6871673332345825
S4,404,0.9876237623762376,0.9912891986062717,0.9851460758432543
S5,414,0.9106280193236715,0.8445378151260504,0.878454616867814
S6,412,0.7063106796116505,0.5,0.4139402560455192
S7,411,0.9902676399026764,0.9830508474576272,0.987989479836353
S8,412,0.9927184466019418,0.9879032258064516,0.9912868774452785
S9,411,0.9854014598540146,0.9897260273972603,0.9825146066141017
