feature,importance_mean,importance_sd
eda_scl_mean,0.09056243889213586,0.011402746964093845
eda_range,0.08783977215248989,0.007482154955263868
eda_scr_amp_sum,0.06542944082540103,0.006818025288680795
hr_sd,0.061191339061365306,0.009906915336404039
eda_scr_sd,0.056718819944836164,0.00645364762923572
eda_scr_count,0.05361712828220913,0.011036117483138425
temp_baseline_delta,0.04671590398224154,0.003945888015582592
eda_scl_sd,0.04643049291252044,0.0086723048148491
temp_max,0.046350445992789764,0.004256263857750353
temp_mean,0.042486886247819926,0.003436672665511945
temp_min,0.03954501011696374,0.004748292373591549
hr_range,0.039524399084803534,0.006672635758484539
eda_scr_amp_mean,0.02996579173344709,0.005979791148801711
acc_z_mean,0.025638287034034375,0.0043818424808511084
hr_baseline_delta,0.025528956278107345,0.005569080041361769
hr_mean,0.02400701994042267,0.005158772606113139
acc_y_mean,0.023895539241221713,0.002359667823511463
eda_scr_duration_sum,0.018643712083855405,0.0034528608879210642
hr_min,0.017583069448118993,0.003028192381955665
temp_slope,0.017293217276398987,0.00402255532431896
acc_x_peakfreq,0.016886816458416207,0.002836991392535259
acc_x_mean,0.015268789366206377,0.0018697612574827562
acc_mag_sd,0.015108720029627914,0.0031016585492921215
acc_mag_absint,0.01498946317417152,0.0022279744608407685
hr_max,0.011658356365432627,0.002407309374460101
acc_mag_mean,0.01051050863133396,0.0014300395877077563
eda_slope,0.006456957958760576,0.0008978084562685729
acc_z_absint,0.006312925599965272,0.0011033678681072042
acc_x_absint,0.006054625925385883,0.0007516526755104326
acc_z_sd,0.005698077019711059,0.0009408274581412332
acc_x_sd,0.005548636495656631,0.0005165627816555948
acc_y_absint,0.005387399546976845,0.000447719086097021
acc_y_sd,0.005091850471538884,0.0005604102568911278
eda_scr_risetime_mean,0.004283724742694643,0.0005670405352726673
temp_range,0.003042414014275978,0.000362238491564765
acc_y_peakfreq,0.0028555726261796305,0.0004476609364088636
acc_z_peakfreq,0.0027288077777236877,0.00041617057780604053
hr_slope,0.0010205790962401107,0.00016865275981566997
eda_range_gated,0.0005804384457566116,0.00019334256517744954
motion_fraction,0.0005582026037588756,0.0001453983409888334
hr_delta_x_still,0.0005506728328616237,0.00015339869675931163
motion_flag,0.0004387902861421759,0.0001684848643782063
