subject,n_test,accuracy,balanced_acc,macro_f1
S10,426,0.9671361502347418,0.9541046200840015,0.9614180359684306
S11,417,0.8992805755395683,0.8333333333333333,0.8663461538461539
S13,417,0.947242206235012,0.93919960365518,0.9371643835616439
S14,417,0.8609112709832134,0.7698412698412698,0.8052029639175258
S15,418,0.9138755980861244,0.9379310344827586,0.905267929089444
S16,415,0.9566265060240964,0.9689655172413794,0.9504036755723164
S17,426,0.9694835680751174,0.9578083237877053,0.964249517452407
S2,395,0.830379746835443,0.7114950103558653,0.743369696969697
S3,401,0.7830423940149626,0.6313559322033898,0.6414380710607727
S4,404,0.9579207920792079,0.9703832752613241,0.9508751350075462
S5,414,0.9710144927536232,0.9796610169491525,0.9656193771626298
S6,412,0.941747572815534,0.9563488682513988,0.9331168831168831
S7,411,0.9902676399026764,0.9906432579394922,0.9881719811212155
S8,412,0.9927184466019418,0.9879032258064516,0.9912868774452785
S9,411,0.9878345498783455,0.9789915966386555,0.9850259040929196
