feature,importance_mean,importance_sd
eda_scr_amp_sum,0.11832992825890144,0.0067684258588020475
eda_scr_count,0.10705786539822791,0.00829298020369539
eda_range,0.08101968079318826,0.006584352501164361
eda_scl_mean,0.07097333168602168,0.008073024338192526
eda_scr_sd,0.06341794059382279,0.005460246739984776
eda_scr_amp_mean,0.060246029776645435,0.0056193501666212025
temp_baseline_delta,0.056790002483387274,0.005222424448375445
hr_sd,0.055788854921035205,0.0064282365410184596
eda_scl_sd,0.044757940826444645,0.004272212001077887
hr_range,0.038912947202997976,0.0031182105982681943
eda_scr_duration_sum,0.036709428110438216,0.005795493659642381
hr_baseline_delta,0.035335792475640074,0.006689040782221117
hr_mean,0.03412230653103101,0.0067160310252719685
hr_min,0.028259964616287065,0.005232388199611232
acc_mag_sd,0.02161656108277854,0.002651246040110826
acc_mag_absint,0.019050777734431992,0.002836669787829785
hr_max,0.01638815255174145,0.003023235761072236
eda_slope,0.01599174963590209,0.0011481611283840583
temp_slope,0.014597411492756987,0.002372047177857033
acc_x_peakfreq,0.014542163581949909,0.0012148375080027673
acc_z_absint,0.011818026696596408,0.002034960040117851
acc_z_sd,0.009268240166048576,0.0013227929963206507
acc_x_sd,0.008489773994518893,0.0007646937015739498
acc_x_absint,0.008015089012014148,0.000546510547167113
acc_y_absint,0.006898786873629227,0.00044277917389406123
acc_y_sd,0.006302816203009982,0.0005181884687507015
eda_scr_risetime_mean,0.005630744412753003,0.002041219882609946
acc_y_peakfreq,0.003525299433414054,0.00036551363086177534
acc_z_peakfreq,0.003370997795061473,0.00024440777581707343
hr_slope,0.002468144956488928,0.00021304217100250665
eda_range_gated,0.00011958821501418978,5.9720988276515044e-05
motion_fraction,0.00011283009977166078,4.340891902452143e-05
hr_delta_x_still,5.7268094164068986e-05,2.5296123073020633e-05
motion_flag,1.3564293885473377e-05,8.470630475291786e-06
