subject,n_test,accuracy,balanced_acc,macro_f1
S10,426,0.9061032863849765,0.9193585337915235,0.8967848230077775
S11,417,0.9328537170263789,0.8933889707085583,0.915494180997047
S13,417,0.9184652278177458,0.9001156005724981,0.9019827443172391
S14,417,0.8273381294964028,0.7142857142857143,0.7449541284403669
S15,418,0.8277511961722488,0.8758620689655172,0.819377760706741
S16,415,0.9566265060240964,0.9689655172413794,0.9504036755723164
S17,426,0.8802816901408451,0.8130966017563956,0.8442033402413751
S2,395,0.769620253164557,0.6026485909747066,0.6027693973853175
S3,401,0.8179551122194514,0.6906779661016949,0.7189531188494293
S4,404,0.9925742574257426,0.994773519163763,0.9910439158482787
S5,414,0.857487922705314,0.7521008403361344,0.7897409852717114
S6,412,0.9878640776699029,0.9793388429752066,0.9851925330113069
S7,411,0.9440389294403893,0.9430352287846359,0.9331305485799173
S8,412,0.9514563106796117,0.9193548387096775,0.9393618273872602
S9,411,0.9075425790754258,0.9274634511338782,0.8952093397745572
