feature,importance_mean,importance_sd
eda_scr_amp_sum,0.1466531554940725,0.005984383002828876
eda_scr_count,0.09809750088518318,0.007950257870574823
eda_scl_mean,0.06436639503200875,0.012776409248472264
eda_scr_duration_sum,0.06415462725889655,0.008192905947642479
eda_range,0.06393854546332872,0.00849164770313479
eda_scr_amp_mean,0.05400391710479966,0.004565305664849534
eda_scr_sd,0.048304324102237985,0.005980669135960411
eda_scl_sd,0.04373579383835312,0.0032558152801057806
hr_baseline_delta,0.0361950086228556,0.006283379313482743
hr_mean,0.034501081490152595,0.006010242604843407
eda_range_gated,0.03149802020782682,0.003998136644264084
hr_min,0.029716770144104676,0.00465606068156771
hr_sd,0.029403209610826563,0.003630858325167378
acc_mag_sd,0.026616580116484257,0.0029502741127650925
acc_mag_absint,0.02557999464663519,0.002712397056537745
hr_max,0.025403468688122932,0.00430202324112202
hr_range,0.021260056953656382,0.0033008769746395742
hr_delta_x_still,0.01657490106434969,0.0022448116698024064
acc_z_absint,0.015311867315436255,0.0024050675363764848
eda_slope,0.015017262552275165,0.001650280574702961
acc_y_absint,0.014991830283597445,0.0013057355340375947
acc_x_peakfreq,0.012697113053236854,0.0019730902102726463
acc_z_sd,0.012614856997780383,0.0018768542682164702
acc_x_absint,0.011556902923952192,0.0010143191306557439
acc_x_sd,0.010610837925628277,0.0008446529355135066
acc_y_sd,0.00938296778916489,0.0005952168432279477
motion_fraction,0.00830287400177244,0.0014466110826081018
motion_flag,0.007521506919810726,0.001628045272835756
eda_scr_risetime_mean,0.006812411968089122,0.0005135147818695816
acc_y_peakfreq,0.005987510392610554,0.0007660494231824401
acc_z_peakfreq,0.0058676808970499605,0.000909448122847558
hr_slope,0.0033210262557005943,0.0004932962849782628
