subject,n_test,accuracy,balanced_acc,macro_f1
S10,426,0.9835680751173709,0.9740740740740741,0.9807497401666807
S11,417,0.9904076738609112,0.9841269841269842,0.9885225145876912
S13,417,1.0,1.0,1.0
S14,417,0.7529976019184652,0.5912698412698413,0.5791799343555577
S15,418,0.9856459330143541,0.9896551724137931,0.9833231374843737
S16,415,0.9397590361445783,0.9568965517241379,0.9320229320229321
S17,426,0.9906103286384976,0.9851851851851852,0.9890682337242424
S2,395,0.9772151898734177,0.9601769911504425,0.9714092696696986
S3,401,0.827930174563591,0.7076271186440678,0.7390824649912773
S4,404,0.995049504950495,0.9965156794425087,0.994014460116155
S5,414,1.0,1.0,1.0
S6,412,0.9101941747572816,0.936426116838488,0.8997468021439611
S7,411,1.0,1.0,1.0
S8,412,1.0,1.0,1.0
S9,411,0.9975669099756691,0.9957983193277311,0.997035594503949
