feature,importance_mean,importance_sd
t_start,0.20675596639712626,0.048391016942018104
eda_scr_amp_sum,0.004915762427854432,0.019633152392344116
hr_mean,0.00472535254763252,0.01664883333314891
hr_baseline_delta,0.004497452522380262,0.01645605230569071
hr_sd,0.0039016096580010095,0.01042195446548945
acc_mag_absint,0.003624740659919518,0.008750993674170362
hr_range,0.00344406366905712,0.009824534560953056
hr_max,0.0029068623514572336,0.009813747099442487
eda_scr_count,0.002875508965749128,0.007499831776057544
acc_mag_sd,0.00230725388164991,0.007993007806523879
motion_fraction,0.0015661116561507629,0.0059945441673248155
eda_range,0.0014102188592314089,0.006291856737478035
eda_scr_sd,0.001135512959264752,0.005490385213365744
eda_scr_amp_mean,0.0011136403104970622,0.00426272519106231
eda_scr_duration_sum,0.0010065790309117576,0.0022351421107713954
eda_scl_mean,0.00085641161517018,0.00908463814089976
motion_flag,0.0004796163069544364,0.0017945598977333044
eda_scl_sd,0.0003624829450122036,0.0012496601606511678
hr_min,0.0002559137496403115,0.001318225302001468
eda_range_gated,0.00016840572208375834,0.002292310146535071
acc_x_peakfreq,0.0001286640830699545,0.001915138578788727
acc_y_absint,5.8256050892868645e-06,0.0017545626255127448
acc_z_peakfreq,2.3550576154300126e-06,0.0006190654529814434
eda_scr_risetime_mean,-6.2885888009164255e-06,0.001622207254252457
hr_slope,-3.325020781379825e-05,0.00012441088567826682
hr_delta_x_still,-4.490293076662303e-05,0.001060624881504911
acc_x_sd,-5.639171122190886e-05,0.001200520141268477
acc_y_sd,-9.304670335726686e-05,0.0011413653046152732
acc_z_sd,-0.00013260740375485193,0.0006975106698917663
acc_x_absint,-0.00014421152809234618,0.002149620524767793
eda_slope,-0.0001653281145306984,0.0006355123493025085
acc_y_peakfreq,-0.0004540250745710035,0.0013982729323984405
acc_z_absint,-0.0007467241352895383,0.0020158198905133044
