subject,n_test,accuracy,balanced_acc,macro_f1
S10,426,0.863849765258216,0.888430698739977,0.8541233704893255
S11,417,0.9400479616306955,0.9030436917034855,0.9247536901367787
S13,417,0.8992805755395683,0.8585544423648575,0.8739274402533832
S14,417,0.7553956834532374,0.5997381770577647,0.5938311688311688
S15,418,0.7870813397129187,0.846551724137931,0.780383128191505
S16,415,0.9518072289156626,0.9655172413793103,0.9451058201058201
S17,426,0.8380281690140845,0.7583428789614357,0.7853747581322332
S2,395,0.7265822784810126,0.5327308102679972,0.4901032702237521
S3,401,0.8229426433915212,0.6991525423728814,0.729118500547072
S4,404,0.9925742574257426,0.994773519163763,0.9910439158482787
S5,414,0.9589371980676329,0.9285714285714286,0.9475351666455456
S6,412,0.9878640776699029,0.9817528613217461,0.9852662446804706
S7,411,0.948905109489051,0.9363249840920924,0.9374315850520134
S8,412,0.9538834951456311,0.9233870967741935,0.9425488972881729
S9,411,0.8905109489051095,0.922945205479452,0.8787507293312442
