feature,importance_mean,importance_sd
eda_scr_amp_sum,0.21868546572609368,0.01038681712479231
eda_scr_count,0.1337857545874064,0.009272710526185694
eda_range,0.08103389042446836,0.011142909447560552
eda_scl_mean,0.07815788849179385,0.015307443291900568
eda_scr_duration_sum,0.07080356620130505,0.012847360431224737
eda_scr_amp_mean,0.06091539582942954,0.007389951653145969
hr_mean,0.06075984189229246,0.010018599554502478
hr_baseline_delta,0.05982678405471049,0.009770642592375004
eda_scl_sd,0.04838407588308017,0.003335998036509134
hr_sd,0.04469375164287617,0.005457830814815081
eda_scr_sd,0.044278249590610996,0.01068158473095197
acc_mag_mean,0.03626407561019149,0.0034301087602204077
eda_slope,0.03139499180450293,0.0024706393715053293
eda_scr_risetime_mean,0.015107488501395965,0.0014035403016380284
motion_flag,0.009451990756327544,0.00229881827085609
hr_slope,0.00645678900351492,0.0006724787318565429
