feature,importance_mean,importance_sd
eda_scr_amp_sum,0.18450444906316596,0.007684961318063405
eda_scr_count,0.12105962550195916,0.008231814656164871
eda_scl_mean,0.08501053613218157,0.015407158463075084
eda_range,0.08262218124584077,0.008693122997414725
eda_scr_duration_sum,0.07886344235624466,0.010964081603459035
eda_scr_amp_mean,0.06818744646407295,0.007416426081608022
eda_scr_sd,0.06390832244680192,0.010018800546865731
hr_baseline_delta,0.05968394852220792,0.009676894739785316
hr_mean,0.05738562031373378,0.009320252322420102
eda_scl_sd,0.05661408634353196,0.003502385516708203
hr_sd,0.0466681082954955,0.00573481656785393
acc_mag_mean,0.03869598724921242,0.0035779462669381173
eda_slope,0.032828526182630526,0.0025468534411658174
eda_scr_risetime_mean,0.01691581211239531,0.0014575943048669737
hr_slope,0.0070519077705256585,0.000581134795671288
