feature,importance_mean,importance_sd
eda_scr_amp_sum,0.17645602868662866,0.00847937972362728
eda_scr_count,0.12567293574322025,0.011322188444143058
eda_scr_amp_mean,0.08368471352649727,0.0097445349027641
eda_range,0.07980666162978288,0.011711722493652231
eda_scr_sd,0.07900301940488455,0.008565402478128013
hr_sd,0.0699706454265749,0.00752119639384603
eda_scl_mean,0.06990315746286813,0.00915020260302681
hr_min,0.05904572696671327,0.011877409851831803
hr_baseline_delta,0.05031302715698598,0.009191280252665154
hr_mean,0.04658806818750946,0.007705906270271844
hr_range,0.04195030562631054,0.0034995032524439027
eda_scl_sd,0.030690190962522765,0.003739664072109855
eda_scr_duration_sum,0.02925293250662461,0.005127240896491002
hr_max,0.024454202892613953,0.0037801030488742457
eda_slope,0.020347723298242065,0.002017706608062514
eda_scr_risetime_mean,0.007368067193107839,0.0006563719620588955
hr_slope,0.0054925933289128445,0.0004644702437511916
