subject,n_test,accuracy,balanced_acc,macro_f1
S10,426,0.9389671361502347,0.939442535318824,0.9308441558441558
S11,417,0.829736211031175,0.7295041728031418,0.7589261723107489
S13,417,0.9184652278177458,0.8977898271496202,0.9015143095304251
S14,417,0.7458033573141487,0.5793650793650793,0.5599514176489327
S15,418,0.8229665071770335,0.8724137931034484,0.8147562582345191
S16,415,0.8674698795180723,0.9051724137931034,0.8574551131928181
S17,426,0.7816901408450704,0.65754104620084,0.6711298529887854
S2,395,0.8126582278481013,0.6884767463754472,0.7152848125925348
S3,401,0.8079800498753117,0.673728813559322,0.6979860520163933
S4,404,1.0,1.0,1.0
S5,414,0.9637681159420289,0.972069505768409,0.9571212550146037
S6,412,0.8689320388349514,0.9048024764988214,0.8572198690797074
S7,411,0.9124087591240876,0.9006045004916989,0.8945853519521232
S8,412,0.9878640776699029,0.9798387096774194,0.9854090081667056
S9,411,0.9902676399026764,0.9831932773109244,0.9880516309087737
