subject,n_test,accuracy,balanced_acc,macro_f1
S10,426,0.823943661971831,0.85922107674685,0.8151330521272717
S11,417,0.8992805755395683,0.9255850106365571,0.8893368043269474
S13,417,0.7601918465227818,0.7874876142243752,0.7439581491305629
S14,417,0.7122302158273381,0.5350597283586974,0.49075958642025563
S15,418,0.7751196172248804,0.8379310344827586,0.7690064667842446
S16,415,0.9397590361445783,0.9568965517241379,0.9320229320229321
S17,426,0.6924882629107981,0.5207712867506682,0.4556308832853729
S2,395,0.739240506329114,0.554854704073307,0.5287215188407139
S3,401,0.8254364089775561,0.7033898305084746,0.7341251799651436
S4,404,1.0,1.0,1.0
S5,414,0.961352657004831,0.9327731092436975,0.9507626438319507
S6,412,0.9733009708737864,0.9642015279316123,0.9675857382970354
S7,411,0.9318734793187348,0.9041331636489848,0.9145631644592267
S8,412,0.9733009708737864,0.9579413082437276,0.9675857382970354
S9,411,0.9927007299270073,0.9873949579831933,0.9910616550074305
