feature,importance_mean,importance_sd
eda_scr_amp_sum,0.22515220990210386,0.008285382393346759
eda_scr_count,0.16684961818014826,0.009567767271846356
eda_scl_mean,0.12211986321429429,0.020441819793277985
eda_range,0.11494272106042895,0.016076467001386933
eda_scr_duration_sum,0.08125199730513559,0.013548061358007658
eda_scr_amp_mean,0.07062991980788151,0.01042624581534409
eda_scr_sd,0.07003559456040614,0.011091931713279648
eda_scl_sd,0.06090706479056551,0.004978612048582596
eda_slope,0.058635014893504346,0.006057026454893373
eda_scr_risetime_mean,0.029475996285531544,0.0022454524167931983
