subject,n_test,accuracy,balanced_acc,macro_f1
S10,426,0.9976525821596244,0.9962962962962962,0.9972836310074158
S11,417,0.988009592326139,0.9801587301587302,0.9856195987281794
S13,417,1.0,1.0,1.0
S14,417,0.8345323741007195,0.7261904761904762,0.7584800181309965
S15,418,1.0,1.0,1.0
S16,415,0.8795180722891566,0.9137931034482758,0.8694968553459119
S17,426,0.9530516431924883,0.9259259259259259,0.9433887043189368
S2,395,1.0,1.0,1.0
S3,401,0.9276807980049875,0.8771186440677966,0.9055819429220964
S4,404,0.9306930693069307,0.9512195121951219,0.9209238598551576
S5,414,0.8623188405797102,0.9033898305084747,0.8499189111838967
S6,412,0.8956310679611651,0.9261168384879725,0.8846727207629463
S7,411,1.0,1.0,1.0
S8,412,1.0,1.0,1.0
S9,411,0.9708029197080292,0.9670052952687924,0.9646907216494844
