feature,importance_mean,importance_sd
eda_scr_amp_sum,0.14082164394455482,0.00836151113209502
eda_scr_count,0.0899949151089276,0.007048826132479321
eda_scr_amp_mean,0.07466907044729408,0.008499806214569068
eda_range,0.07304132770128935,0.008630159480535544
eda_scl_mean,0.06739151776154667,0.009673709016830298
hr_sd,0.0643356042196,0.006723358424468257
eda_scr_sd,0.06160492118744016,0.005172062481609538
eda_scl_sd,0.03835326951866424,0.004237221484790991
hr_baseline_delta,0.03724945880504719,0.007255289027960487
hr_range,0.03722281787296503,0.003634995400876387
hr_mean,0.0348968376531603,0.006509353922053745
hr_min,0.03133659502269084,0.0063245848085847255
eda_scr_duration_sum,0.03030926854397806,0.004586316056142912
acc_z_mean,0.02417673046537355,0.003786462931288398
acc_x_mean,0.021858353992444422,0.0022160810863918736
acc_y_mean,0.02148826588215593,0.0026066112699301655
acc_mag_sd,0.02110064165862351,0.0031657963435584016
acc_mag_absint,0.01826493606331516,0.0026367365079218723
hr_max,0.016144660233676496,0.003023148145951678
eda_slope,0.014898881586981076,0.0018001688127418525
acc_x_peakfreq,0.012788459835869985,0.0010904716798928668
acc_z_absint,0.010587233021424221,0.0020695367099093508
acc_mag_mean,0.009256108598989739,0.000746405281534988
acc_z_sd,0.008650899781714662,0.001418615468687519
acc_x_absint,0.007291313072163898,0.0003708779442550778
acc_x_sd,0.007057627175457642,0.00034075862035663984
acc_y_absint,0.006310344542256574,0.0006598509895015792
acc_y_sd,0.005527162787567877,0.0003270137833975774
eda_scr_risetime_mean,0.00424527947272821,0.0012835123621217329
acc_z_peakfreq,0.003233275338309466,0.00026547146573797177
acc_y_peakfreq,0.003043293394730025,0.0003960085654072946
hr_slope,0.00258102800970609,0.00035516158880308945
motion_fraction,0.00010954523974796238,3.8005262585116444e-05
eda_range_gated,9.924750253270147e-05,4.7088083871025814e-05
hr_delta_x_still,4.684095628396452e-05,2.473491492569349e-05
motion_flag,1.2623600788555597e-05,1.2132576118779285e-05
