feature,importance_mean,importance_sd
hr_min,0.019884108882560116,0.032308764369778864
hr_sd,0.015055503409060636,0.027008869286797528
eda_scl_mean,0.012451870851479419,0.019207099921585608
eda_scr_amp_sum,0.01005098566904287,0.014735927455244621
eda_scr_count,0.007983001845490976,0.014386240763132635
hr_mean,0.005679606704228148,0.01775916360421889
eda_range,0.005668579016557252,0.012599015327882178
acc_mag_sd,0.004518208065748931,0.013756129463875147
acc_mag_absint,0.0044205778947866755,0.01570018852581813
hr_baseline_delta,0.004138406417559701,0.015488212976069763
eda_scr_sd,0.0036393363690930586,0.008794971019413778
hr_range,0.003126107614119042,0.01525163289056589
eda_scr_amp_mean,0.002621455082603566,0.009889628439343847
acc_z_sd,0.0022270533146211947,0.006462855078118152
acc_x_peakfreq,0.001868980535754119,0.00477739390991868
acc_y_sd,0.0016592893910901596,0.005204377449772095
eda_slope,0.0016212524160948555,0.004825724337540948
hr_max,0.0014213393888864681,0.006476827288349657
acc_x_sd,0.001341241225307292,0.0067058890200286415
acc_z_peakfreq,0.0006163070723258204,0.003670595763362716
eda_scr_duration_sum,0.0005604836167548252,0.004071052473185786
acc_y_absint,0.0005186076336881528,0.005464060725093144
acc_x_absint,0.0004928055528247273,0.01190851475557568
motion_flag,0.00036457125397796263,0.0024893412997363147
hr_delta_x_still,0.0003342392890078499,0.009161636090032512
acc_z_absint,0.000276709134055341,0.007987095829571036
eda_scr_risetime_mean,-0.00012772483100655484,0.0017721165464681518
hr_slope,-0.000321767656098233,0.0016994278661100187
motion_fraction,-0.0003728670970912473,0.002614270293040435
eda_scl_sd,-0.0006913046155537712,0.006189676411470311
acc_y_peakfreq,-0.0007972997529057372,0.0019660988793379765
eda_range_gated,-0.0016206585467774303,0.005395746913737453
