subject,n_test,accuracy,balanced_acc,macro_f1
S10,426,0.7746478873239436,0.6209439528023598,0.5715437659882104
S11,417,0.7002398081534772,0.5174791098524579,0.5104726523736854
S13,417,0.7769784172661871,0.6089066514416215,0.5703529411764706
S14,417,0.6354916067146283,0.6517301119071031,0.538425571306459
S15,418,0.6818181818181818,0.7254332595870207,0.6566643323996265
S16,415,0.8578313253012049,0.7636430678466076,0.7564757776944179
S17,426,0.6455399061032864,0.4682399213372665,0.4519642958667349
S2,395,0.6506329113924051,0.4668444659958783,0.4603594483088948
S3,401,0.6334164588528678,0.44280308920333805,0.4287402752842609
S4,404,0.8168316831683168,0.6531531531531531,0.6173333333333333
S5,414,0.8043478260869565,0.6434782608695652,0.585850319517062
S6,412,0.8203883495145631,0.6533923303834809,0.586618630983016
S7,411,0.8004866180048662,0.6349985132322331,0.5860080742919184
S8,412,0.8033980582524272,0.6353686635944701,0.606342609569599
S9,411,0.8856447688564477,0.7746078573754137,0.7982903963920869
