feature,importance_mean,importance_sd
eda_scl_mean,0.1124876551403238,0.09241591371915349
eda_scr_amp_sum,0.0323232310877946,0.03755620250031438
eda_scr_count,0.03161457499970564,0.029866453846504704
eda_slope,0.015909652028284215,0.016140534342259802
eda_scr_sd,0.01344126739055347,0.021305494653200537
eda_range,0.011366702396632717,0.02390192542344003
eda_scr_risetime_mean,0.008208395751570388,0.012431555586844297
eda_scl_sd,0.005902368653530189,0.02450148821405305
eda_scr_amp_mean,0.0042153224427186045,0.011198585904689095
eda_scr_duration_sum,1.2002303951639976e-05,0.004506478461616269
