task,model,feature_set,n_features,contract_n_features,n_folds,accuracy_mean,accuracy_sd,balanced_acc_mean,balanced_acc_sd,macro_f1_mean,macro_f1_sd,pooled_macro_f1,worst_fold_macro_f1,best_fold_macro_f1,standardise,n_ref_windows
binary,rf,all,36,36,15,0.9203335154319479,0.07710420780604577,0.8843469036094834,0.1369023734694091,0.8852115037384859,0.13089089069133816,0.9014461515488916,0.629339980266916,0.9911067835118468,baseline,100
binary,rf,clean,32,36,15,0.9312987673373071,0.06263674460128237,0.904531059055424,0.113212822051107,0.9059304390256576,0.10147356655878359,0.9164740086401263,0.6414380710607727,0.9912868774452785,baseline,100
binary,rf,eda_only,10,36,15,0.8869728831505574,0.08165031119981184,0.8492838470597367,0.14056888720068497,0.8433491459484841,0.13407149713293454,0.8600750397177659,0.5599514176489327,1.0,baseline,100
binary,rf,time_only,1,36,15,0.9556743479443097,0.050628724858253316,0.9603333539765646,0.045818733415310856,0.9495475660170516,0.057044189517173834,0.9483136881970686,0.849459347389238,1.0,baseline,100
binary,rf,clean_plus_time,33,36,15,0.9644723414539544,0.05316547361805177,0.9524000754508599,0.08145611215830831,0.9537940777322016,0.07519830510859164,0.9575597397042949,0.729118500547072,1.0,baseline,100
3class,rf,all,36,36,15,0.8127700690616722,0.09422350869293968,0.6980436389557289,0.12950046583670796,0.6854650092246602,0.13497405129146064,0.7173634578863876,0.47844225594597894,0.9578425552743669,baseline,100
3class,rf,clean,32,36,15,0.8243164570675148,0.0792384095938609,0.709469774751872,0.13147897043640747,0.6936697655680625,0.1443289589719092,0.7264783338516745,0.4167656953197269,0.9117176344177236,baseline,100
3class,rf,eda_only,10,36,15,0.752512920453984,0.08604696459623082,0.6174014939054645,0.1029237370517426,0.581696161632385,0.10251970865766488,0.6194652995852868,0.4287402752842609,0.7982903963920869,baseline,100
3class,rf,time_only,1,36,15,0.9285932105667919,0.07282338986729292,0.9026558342051155,0.1064760222653431,0.8923236863953881,0.11176760285766446,0.8915572992270726,0.686236746812715,1.0,baseline,100
3class,rf,clean_plus_time,33,36,15,0.9362624510663515,0.06628829891453444,0.9062541324858376,0.08466665890277597,0.9006197497366628,0.09826880764598989,0.9024971309109336,0.6511872895906906,0.9960213205323646,baseline,100
