subject,n_test,accuracy,balanced_acc,macro_f1
S10,426,0.9694835680751174,0.9538373424971363,0.9639422607382135
S11,417,0.8968824940047961,0.8293650793650793,0.8627291866028708
S13,417,0.9304556354916067,0.9086480237806892,0.9153820856045286
S14,417,0.7745803357314148,0.626984126984127,0.6330050183506853
S15,418,0.9138755980861244,0.9379310344827586,0.905267929089444
S16,415,0.9253012048192771,0.9465517241379311,0.9166067064672747
S17,426,0.9460093896713615,0.9207712867506682,0.93534679010472
S2,395,0.7924050632911392,0.6451233289399361,0.6626041666666667
S3,401,0.7780548628428927,0.6228813559322034,0.629339980266916
S4,404,0.9628712871287128,0.9738675958188153,0.9564627023298921
S5,414,0.9806763285024155,0.9864406779661017,0.976866985164697
S6,412,0.9781553398058253,0.9821220641276873,0.9741016238868517
S7,411,0.9927007299270073,0.9923497425811303,0.9911067835118468
S8,412,0.9805825242718447,0.967741935483871,0.9764840182648402
S9,411,0.9829683698296837,0.9705882352941176,0.9789263190278419
