feature,importance_mean,importance_sd
eda_scr_amp_sum,0.030194298929050248,0.02046852036230034
hr_sd,0.01698522566118889,0.03030054338919541
eda_range,0.013634151456586798,0.03105343947934964
eda_scl_mean,0.012458162548588728,0.01939403896754086
eda_scr_count,0.011305059915272335,0.0153408296202907
acc_z_mean,0.007001769463061467,0.00977947030556812
hr_range,0.005658257958063979,0.017811469842017737
hr_baseline_delta,0.004045508035279892,0.010162789497924114
eda_scr_amp_mean,0.0035784218328328544,0.01090313150287901
hr_mean,0.0028768571956120136,0.006906082149212083
eda_scr_sd,0.0028749749648630594,0.010779426713011159
acc_mag_sd,0.0023680375561495144,0.010022939023683505
acc_x_peakfreq,0.0021448470426160124,0.00568085859802825
eda_slope,0.001720177082195688,0.002081781614524065
motion_fraction,0.001022272062713558,0.004397429514329428
hr_max,0.0005732054484899936,0.0037796098705723488
acc_y_sd,0.00037763605308870573,0.0019178643753972318
acc_mag_absint,0.0003306049724151942,0.006994635258582317
motion_flag,0.0002914466572223577,0.0010273721909082032
acc_y_absint,0.00022437330647200477,0.0024743334374291506
hr_slope,0.00019520930195209284,0.0006106499818674583
acc_z_peakfreq,0.00010873940854234059,0.00216415644148539
acc_z_sd,-1.1188235783111297e-05,0.001701162499221179
eda_scr_duration_sum,-1.2817217788437322e-05,0.0034900737796296375
acc_y_peakfreq,-3.792808349463458e-05,0.0006669677255148991
eda_range_gated,-7.407843078318433e-05,0.002254528416182939
acc_z_absint,-7.722761289458369e-05,0.0019639379352264542
hr_min,-9.231576566169087e-05,0.002802905288980945
eda_scl_sd,-0.0001547991276387828,0.0030838057187045557
eda_scr_risetime_mean,-0.000174600933879292,0.0010202165021864543
acc_mag_mean,-0.0002556625032405746,0.001992732827028848
acc_x_sd,-0.0002918975324610947,0.0024584666307025673
hr_delta_x_still,-0.0003190519575356573,0.001420876065413544
acc_x_absint,-0.0014783535371828474,0.007068329717257658
acc_x_mean,-0.0016071345619751729,0.007758545509904093
acc_y_mean,-0.0030719832872533512,0.00607000329538208
