feature,importance_mean,importance_sd
eda_scr_amp_sum,0.01893479661885343,0.020574241719352696
hr_sd,0.014773727515151745,0.02171440620911022
eda_scr_count,0.012323626978141412,0.016726524877225573
eda_scl_mean,0.010729990342259155,0.016873236199907056
eda_range,0.005867225481962951,0.014232485447408318
hr_baseline_delta,0.00556474210734082,0.018883295686397666
hr_mean,0.005230549821777643,0.018693452322638977
eda_scr_sd,0.0036615485943316335,0.012353397049890476
eda_slope,0.003363100244035622,0.0059085850331296935
acc_mag_absint,0.0032894854716857343,0.012924277985181627
acc_mag_sd,0.003114768030792339,0.013023113043848952
eda_scr_amp_mean,0.002861327242373702,0.012560588521598798
hr_range,0.002605355084451892,0.008160128722065858
hr_max,0.0023390174915692468,0.007538221432147794
motion_fraction,0.0018170307544747913,0.008295313017836885
acc_x_peakfreq,0.0017813992483676406,0.005283567102816724
eda_scr_duration_sum,0.0015576911104854235,0.00589632156446483
motion_flag,0.0009781301895005641,0.00313275644017154
eda_range_gated,0.0007452718037182215,0.004214728971274533
acc_x_sd,0.0006021555585328198,0.005825240443327778
acc_z_peakfreq,0.0004704444622566436,0.0029711558742098283
eda_scr_risetime_mean,0.0003548177971314696,0.001717208464084989
hr_slope,0.00019254163792964185,0.0006052632505653369
eda_scl_sd,-2.570159351502923e-05,0.004870992912640463
acc_x_absint,-4.012991860150832e-05,0.006417811773351654
hr_delta_x_still,-0.00012272295311980635,0.003420308818528604
acc_y_absint,-0.0003112865511333674,0.004757259076043376
acc_y_sd,-0.00042075790100901676,0.00424399837388717
hr_min,-0.0009449179661648207,0.006491784754888814
acc_z_sd,-0.001399544340030195,0.00483979715171854
acc_y_peakfreq,-0.0014396724179162386,0.0032181439864192108
acc_z_absint,-0.0016088259848893545,0.006842450702622459
