subject,n_test,accuracy,balanced_acc,macro_f1
S10,426,0.9835680751173709,0.9740740740740741,0.9807497401666807
S11,417,0.9904076738609112,0.9841269841269842,0.9885225145876912
S13,417,1.0,1.0,1.0
S14,417,0.9112709832134293,0.8531746031746033,0.8840665739940639
S15,418,0.992822966507177,0.9948275862068965,0.9916088408289448
S16,415,0.927710843373494,0.9482758620689655,0.9191558441558442
S17,426,0.9929577464788732,0.9888888888888889,0.9918179199078075
S2,395,0.959493670886076,0.9292035398230089,0.948111658456486
S3,401,0.8229426433915212,0.6991525423728814,0.729118500547072
S4,404,1.0,1.0,1.0
S5,414,1.0,1.0,1.0
S6,412,0.8907766990291263,0.9226804123711341,0.8797033461156638
S7,411,1.0,1.0,1.0
S8,412,1.0,1.0,1.0
S9,411,0.9951338199513382,0.9915966386554622,0.9940562272227685
