subject,n_test,accuracy,balanced_acc,macro_f1
S10,426,0.9953051643192489,0.9965635738831615,0.9945993914807303
S11,417,0.9232613908872902,0.913516609392898,0.909818339100346
S13,417,0.9568345323741008,0.9692832764505119,0.9503203431112994
S14,417,0.9664268585131894,0.9444444444444444,0.9588432688511646
S15,418,0.9880382775119617,0.9913793103448276,0.9860736298517407
S16,415,1.0,1.0,1.0
S17,426,0.9272300469483568,0.9467353951890034,0.9203743118823522
S2,395,1.0,1.0,1.0
S3,401,1.0,1.0,1.0
S4,404,0.8737623762376238,0.9086184817892136,0.8613225643614336
S5,414,0.8623188405797102,0.9008830650904429,0.849459347389238
S6,412,1.0,1.0,1.0
S7,411,1.0,1.0,1.0
S8,412,0.9635922330097088,0.9739583333333333,0.958113905776621
S9,411,0.878345498783455,0.8596178197306319,0.8542883884508481
