feature,importance_mean,importance_sd
eda_scl_mean,0.11616102442129422,0.007287508697264558
hr_min,0.1031152318028732,0.009521607776685617
eda_scr_amp_sum,0.10071119964456535,0.004789178972623069
eda_range,0.07989482294888564,0.007873349989134897
eda_scr_count,0.07207412237324666,0.005699508585375575
hr_baseline_delta,0.06820476633542323,0.004402333624522673
hr_mean,0.06576514709507236,0.004750735194021777
eda_scr_sd,0.05882200803865875,0.0038282726046365467
hr_sd,0.058285393136116914,0.004746236755606269
hr_max,0.05613130560704756,0.004059478211767804
eda_scr_amp_mean,0.05331602977770503,0.004598225211504293
eda_scl_sd,0.04802816901333865,0.003292223576489442
eda_slope,0.0391964770579744,0.002784836534445619
hr_range,0.038252281186197314,0.002298827195044051
eda_scr_duration_sum,0.02070289510436736,0.0029035886788659135
eda_scr_risetime_mean,0.012463718215522073,0.0008223380365565164
hr_slope,0.008875408241711336,0.0010370632069135529
