subject,n_test,accuracy,balanced_acc,macro_f1
S10,426,1.0,1.0,1.0
S11,417,0.9928057553956835,0.9920634920634921,0.9883503479567123
S13,417,0.9568345323741008,0.9104477611940299,0.9257194710915219
S14,417,0.750599520383693,0.724867724867725,0.6176176176176177
S15,418,0.9473684210526315,0.8854166666666666,0.904438713180399
S16,415,0.8746987951807229,0.7291666666666666,0.7145346810735448
S17,426,0.9389671361502347,0.9358024691358025,0.9089253187613844
S2,395,0.9898734177215189,0.9882005899705014,0.9837375837375837
S3,401,0.8802992518703242,0.864406779661017,0.8250059765718385
S4,404,0.9084158415841584,0.8102564102564104,0.8218730574402517
S5,414,0.8429951690821256,0.6666666666666666,0.5951595159515951
S6,412,0.75,0.6581120943952802,0.6324991981365996
S7,411,0.9586374695863747,0.9128205128205128,0.9324719327227715
S8,412,1.0,1.0,1.0
S9,411,0.9829683698296837,0.9641025641025641,0.9715060007742936
