feature,importance_mean,importance_sd
t_start,0.5122186257982857,0.007538641899798677
eda_scr_amp_sum,0.0963845917150871,0.005085347439897742
eda_range,0.07609240658414121,0.011635878388576812
eda_scl_mean,0.06762304051369616,0.00496974334434562
eda_scr_count,0.06517043755707462,0.00786807423198617
eda_scr_sd,0.04791227113583431,0.0065693230823899215
eda_scr_amp_mean,0.044932204251639164,0.006752331227963094
eda_scl_sd,0.044315681172474676,0.005361008048001801
eda_slope,0.02280792044602255,0.0014790707231355654
eda_scr_duration_sum,0.013050109756479921,0.001896108042564265
eda_scr_risetime_mean,0.009492711069264503,0.0011370484673752655
