feature,importance_mean,importance_sd
eda_scr_amp_sum,0.08264303202109151,0.00425174302313409
eda_scl_mean,0.06572333151732689,0.004760564089143411
temp_max,0.06290442988381083,0.0034240914730398553
eda_range,0.056641809564553565,0.004931271152339315
eda_scr_count,0.05389723208313754,0.004152950995444098
temp_mean,0.050191091453259264,0.002849887921103904
temp_min,0.046065360365952775,0.0041343505251865
temp_baseline_delta,0.045230835896851035,0.00286625847293736
eda_scr_amp_mean,0.04354954939930315,0.0042793246961092095
acc_mag_absint,0.03749426258742667,0.004804107362012411
eda_scr_sd,0.03654920542576291,0.0028141583257744133
acc_z_absint,0.03523808866731285,0.003121377062741485
eda_scl_sd,0.03286606216009712,0.0024752762140276964
hr_sd,0.02987564171526597,0.002474599643550063
acc_z_sd,0.029801033008874777,0.0031842630172854982
hr_mean,0.02623394136378842,0.0034129048656668945
hr_baseline_delta,0.026025569889741203,0.004016053654645427
hr_min,0.025574965913227554,0.0027212226950402026
acc_x_absint,0.02246642319973053,0.0031105736267190054
acc_mag_sd,0.021500351135458128,0.0017330607093706742
acc_x_sd,0.020108527653516804,0.002931258320287361
eda_scr_duration_sum,0.019093618294951247,0.0015452606192661654
hr_range,0.01829191932442358,0.002537627515389328
hr_max,0.017155671239880533,0.002055481058324012
eda_slope,0.016213955403663473,0.0015972175151304942
temp_range,0.014848992346920418,0.0026303957501890764
temp_slope,0.013528579434166067,0.0010014988627597698
acc_x_peakfreq,0.012008563075166461,0.0010435603287845944
acc_y_sd,0.010397982809220023,0.0008178869172228297
acc_y_absint,0.009511084065919212,0.0006130102110395156
eda_scr_risetime_mean,0.0070596500943154025,0.0007882754294087997
acc_y_peakfreq,0.005553459064352272,0.00048753698021005283
acc_z_peakfreq,0.0037146624943470968,0.00038280344786696815
hr_slope,0.0015126192594184984,0.0002237745429063768
eda_range_gated,0.0002265245712307387,7.319498212584389e-05
motion_fraction,0.000169233895552375,6.370368983623642e-05
hr_delta_x_still,8.854440338688017e-05,2.291705753135789e-05
motion_flag,4.419531759625412e-05,1.7797179895511576e-05
