subject,n_test,accuracy,balanced_acc,macro_f1
S10,426,1.0,1.0,1.0
S11,417,0.9760191846522782,0.9603174603174602,0.9708928970292607
S13,417,1.0,1.0,1.0
S14,417,0.6762589928057554,0.4845360824742268,0.4034334763948498
S15,418,0.9354066985645934,0.9272629310344828,0.9244795674605033
S16,415,0.8891566265060241,0.9206896551724137,0.8792261362486082
S17,426,0.7582159624413145,0.6185185185185185,0.6164342847152411
S2,395,0.810126582278481,0.6734450511516977,0.699009398018796
S3,401,0.8054862842892768,0.6694915254237288,0.6926055507508453
S4,404,1.0,1.0,1.0
S5,414,0.9637681159420289,0.9369747899159664,0.9539710187896082
S6,412,0.7063106796116505,0.5,0.4139402560455192
S7,411,0.9391727493917275,0.8940677966101696,0.9203000286997464
S8,412,0.9927184466019418,0.9879032258064516,0.9912868774452785
S9,411,0.9537712895377128,0.9674657534246576,0.9462208601632176
