subject,n_test,accuracy,balanced_acc,macro_f1
S10,426,0.9483568075117371,0.9502863688430698,0.9414835164835165
S11,417,0.9280575539568345,0.8989527082310587,0.9118070046810671
S13,417,0.9280575539568345,0.9115930859848067,0.9135141861622698
S14,417,0.841726618705036,0.7515954835542464,0.7814465408805031
S15,418,0.8779904306220095,0.9120689655172414,0.8687339519590156
S16,415,0.9590361445783132,0.9706896551724138,0.9530671030661052
S17,426,0.8755868544600939,0.8056891943489881,0.8371312947694172
S2,395,0.7569620253164557,0.577872968053725,0.5634153080961591
S3,401,0.7805486284289277,0.6271186440677966,0.635424415240929
S4,404,0.9702970297029703,0.9790940766550522,0.964933599513931
S5,414,0.8864734299516909,0.8025210084033614,0.8400716710365177
S6,412,0.9902912621359223,0.9834710743801653,0.9881836693721857
S7,411,0.9732360097323601,0.9559206340024295,0.9665272276311405
S8,412,0.9927184466019418,0.9879032258064516,0.9912868774452785
S9,411,0.9805352798053528,0.9713652584321399,0.9761032618175476
