feature,importance_mean,importance_sd
eda_scr_amp_sum,0.039567411775445475,0.03416851202663729
eda_scr_count,0.023885127849154426,0.025416502849734714
hr_sd,0.02250559036347246,0.02175521135372182
eda_scl_mean,0.018830066793395796,0.026715426287311043
hr_range,0.01141561434859948,0.013776966206477165
eda_range,0.009157223765500213,0.01286755677704352
acc_mag_sd,0.00795943365780877,0.013575124354002547
hr_baseline_delta,0.007924903289992168,0.018133926291521912
hr_mean,0.007380948839861937,0.017791366263747468
eda_scr_duration_sum,0.006932194000920376,0.011525599588663454
hr_max,0.005571754442128265,0.00806978082588595
acc_mag_absint,0.00529686418707532,0.006839404415734152
eda_scl_sd,0.004749821858550927,0.007186340232015258
eda_scr_amp_mean,0.0042384101499212635,0.010723466850500367
acc_x_peakfreq,0.003921132952154331,0.005528031922288931
eda_scr_sd,0.0035451929140613903,0.00790938361788559
eda_slope,0.0032118188252526617,0.0045483733152025686
acc_x_absint,0.0016553379266167475,0.008720946646226984
acc_y_absint,0.0016334302495653549,0.0048199284952849825
eda_range_gated,0.0011380173870450532,0.004943042407072451
acc_x_sd,0.0008067721273487811,0.005227196471635635
motion_fraction,0.0005615047183877767,0.0017236200567057015
motion_flag,0.0005450641897672836,0.0017065299136323098
acc_y_sd,0.000518652739153489,0.0028750826332721337
acc_z_sd,0.00040934289181042866,0.005161962790058209
acc_z_absint,0.00025291905383145947,0.007363784864222374
hr_delta_x_still,0.0001980608586499244,0.0026469069971669936
acc_y_peakfreq,0.00010446400925746927,0.0020807602588960826
hr_min,3.562020539706738e-05,0.0025049031023695284
hr_slope,-0.0004153231052642647,0.0013771341150903855
eda_scr_risetime_mean,-0.00043188479825934773,0.0022284004587708192
acc_z_peakfreq,-0.001291791903583507,0.0038041029835715287
