subject,n_test,accuracy,balanced_acc,macro_f1
S10,426,0.9647887323943662,0.9523864070255823,0.9587494432143157
S11,417,0.894484412470024,0.8298969072164948,0.8608566401747255
S13,417,0.9448441247002398,0.932841572167786,0.9338501541496251
S14,417,0.8920863309352518,0.8214285714285714,0.8554191803619722
S15,418,0.8947368421052632,0.9241379310344828,0.8856218905472637
S16,415,0.9710843373493976,0.9793103448275862,0.9665358563595312
S17,426,0.9225352112676056,0.9294005345551737,0.9135992919788332
S2,395,0.8177215189873418,0.6920228456662273,0.7204529370134466
S3,401,0.743142144638404,0.5635593220338984,0.5358013868752599
S4,404,0.9628712871287128,0.9738675958188153,0.9564627023298921
S5,414,0.9951690821256038,0.9966101694915255,0.9941326530612244
S6,412,0.8762135922330098,0.9099571156740791,0.8645287325196804
S7,411,0.975669099756691,0.9753427431017527,0.9705756013745704
S8,412,1.0,1.0,1.0
S9,411,0.9829683698296837,0.9705882352941176,0.9789263190278419
