subject,n_test,accuracy,balanced_acc,macro_f1
S10,426,0.9788732394366197,0.9666666666666667,0.9751444074916856
S11,417,0.9712230215827338,0.9523809523809523,0.9648989898989899
S13,417,0.9952038369304557,0.9919354838709677,0.9942342790774846
S14,417,0.7026378896882494,0.5079365079365079,0.4278063031161473
S15,418,0.9497607655502392,0.9594288793103448,0.9428883727285149
S16,415,0.672289156626506,0.4810344827586207,0.4020172910662824
S17,426,0.9483568075117371,0.9522718594883544,0.9416946621873834
S2,395,0.9341772151898734,0.9247316889474675,0.9202639751552795
S3,401,0.8129675810473815,0.6822033898305084,0.7085784052480112
S4,404,0.9603960396039604,0.9721254355400697,0.953663082437276
S5,414,1.0,1.0,1.0
S6,412,0.9927184466019418,0.9876033057851239,0.9911597468082824
S7,411,0.9683698296836983,0.9474460577312431,0.9602233389168062
S8,412,1.0,1.0,1.0
S9,411,0.9781021897810219,0.967163577759871,0.9730466273672551
