subject,n_test,accuracy,balanced_acc,macro_f1
S10,426,0.9647887323943662,0.9504009163802978,0.9585740124861427
S11,417,0.8968824940047961,0.8293650793650793,0.8627291866028708
S13,417,0.9304556354916067,0.9063222503578113,0.9149607960338947
S14,417,0.762589928057554,0.6071428571428571,0.6037833635656906
S15,418,0.9114832535885168,0.9362068965517241,0.9027900866755919
S16,415,0.9253012048192771,0.9465517241379311,0.9166067064672747
S17,426,0.9389671361502347,0.9037037037037037,0.9253397325280415
S2,395,0.8,0.6583976652231218,0.6798206462072008
S3,401,0.7805486284289277,0.6271186440677966,0.635424415240929
S4,404,0.9603960396039604,0.9721254355400697,0.953663082437276
S5,414,0.9855072463768116,0.9898305084745762,0.982567931731417
S6,412,0.9805825242718447,0.9838402771861066,0.9769265232974911
S7,411,0.9951338199513382,0.9940562272227685,0.9940562272227685
S8,412,0.9781553398058253,0.9637096774193548,0.9734792404248471
S9,411,0.9829683698296837,0.9705882352941176,0.9789263190278419
