subject,n_ref,centre_err_median,centre_err_p90,scale_err_median,scale_err_p90,centre_err_EDA,centre_err_HR,centre_err_IMU,centre_err_CROSS
S10,10,0.37497193742724394,0.8126923675101501,0.8598382749326144,1.0,0.44486679432704557,0.2609360443596129,0.3658108827050787,0.527453565058435
S10,15,0.18690821104559519,0.5244526483116098,0.7981488553943878,1.0,0.06717192292600074,0.29904130745375374,0.3071418600415076,0.0995324018064811
S10,20,0.11462138167872793,0.5235961172623592,0.5691767782858518,0.9853351553791303,0.054773606453940735,0.1329856410654679,0.15688401538731078,0.08024436322607958
S10,25,0.10459235703914341,0.4935874002581846,0.6336602035286877,0.981156648897794,0.034960665627038215,0.20611416295142093,0.12681020895723127,0.08725086418398859
S10,30,0.11165555842621204,0.5065694693529251,0.6722222222222223,0.9780546189162656,0.02112316721194586,0.2933535567538461,0.17275995258079485,0.20410740881950226
S10,40,0.11204194785901454,0.5103264370805646,0.6548846385469788,0.9514196914206047,0.050090986341221874,0.21958526965898684,0.21842457950747915,0.03426881027378111
S10,50,0.1444478087030784,0.5103264370805646,0.6148545776531167,0.9399496774088596,0.023727147933731915,0.2490614695257382,0.20849567970932475,0.11041197009121093
S10,75,0.08416736486039798,0.4310147368815335,0.566632554462569,0.9253754518712435,0.02097532625835928,0.18690821104559435,0.1194513746915681,0.0995324018064811
S10,100,0.06913544121178082,0.4012419348372752,0.4673567661107679,0.821106539192706,0.03658889502805342,0.15096027844532012,0.17396139508769004,0.06299945739106139
S11,10,0.34939759036144563,0.8422225712206242,0.662738736374321,0.9130958617077006,0.6131654216246393,0.22404911540644737,0.40052194861528856,0.21661753019719399
S11,15,0.24821207173989795,0.512,0.5626692613145476,0.8712592304702682,0.30992100989146765,0.23477733529160816,0.2796346677030702,0.20185023621599726
S11,20,0.25152409233687884,0.48795264465537475,0.4982907867894359,0.8545067475716023,0.24088066714847955,0.27123231236026074,0.21416855342312927,0.31292305492508615
