subject,n_test,accuracy,balanced_acc,macro_f1,n_ref,eval
S10,326,0.9539877300613497,0.9444444444444444,0.951696547636687,10,fixed
S11,317,0.807570977917981,0.7579365079365079,0.7714653776606433,10,fixed
S13,317,0.9526813880126183,0.961139896373057,0.9512672563106597,10,fixed
S14,317,0.6624605678233438,0.7198952879581152,0.6564294758166624,10,fixed
S15,318,0.8930817610062893,0.9105263157894736,0.892246362367949,10,fixed
S16,315,0.7301587301587301,0.7763157894736843,0.7290665317480395,10,fixed
S17,326,0.6196319018404908,0.5407407407407407,0.45281282148464996,10,fixed
S2,295,0.6169491525423729,0.5,0.38155136268343814,10,fixed
S3,301,0.7441860465116279,0.673728813559322,0.6709541860101935,10,fixed
S4,304,1.0,1.0,1.0,10,fixed
S5,314,0.678343949044586,0.5756302521008403,0.5285355374849481,10,fixed
S6,312,0.9551282051282052,0.9421487603305785,0.9516214779372674,10,fixed
S7,311,0.9871382636655949,0.9830508474576272,0.9862511052166225,10,fixed
S8,312,0.8237179487179487,0.8399965682910089,0.8221816938333524,10,fixed
S9,311,1.0,1.0,1.0,10,fixed
S10,416,0.9591346153846154,0.9408857255832345,0.9521434613432583,10,per_n
S11,407,0.8501228501228502,0.7579365079365079,0.7913574748094425,10,per_n
S13,407,0.9533169533169533,0.9664310954063604,0.947052016788886,10,per_n
S14,407,0.7371007371007371,0.8096085409252669,0.7333925127796994,10,per_n
S15,408,0.9166666666666666,0.9392857142857143,0.9090599187098466,10,per_n
S16,405,0.7901234567901234,0.8482142857142857,0.7836606441476827,10,per_n
S17,416,0.7019230769230769,0.5407407407407407,0.484963457007069,10,per_n
S2,385,0.7064935064935065,0.5,0.4140030441400304,10,per_n
S3,391,0.80306905370844,0.673728813559322,0.696063882411137,10,per_n
S4,394,1.0,1.0,1.0,10,per_n
S5,404,0.75,0.5756302521008403,0.5561260565448671,10,per_n
S6,402,0.9651741293532339,0.9421487603305785,0.9571454678362573,10,per_n
S7,401,0.9900249376558603,0.9830508474576272,0.987870538415003,10,per_n
S8,402,0.8159203980099502,0.8445695056857739,0.8037782644257407,10,per_n
S9,401,1.0,1.0,1.0,10,per_n
S10,326,0.9570552147239264,0.9557494667442312,0.9557494667442312,15,fixed
S11,317,0.7917981072555205,0.7380952380952381,0.7489199308755761,15,fixed
S13,317,0.9400630914826499,0.9507772020725389,0.9385339170723245,15,fixed
S14,317,0.7634069400630915,0.7834081276489653,0.7624614093456823,15,fixed
S15,318,0.9308176100628931,0.9344572368421052,0.9289168868116237,15,fixed
S16,315,0.707936507936508,0.7578947368421053,0.7057748538011697,15,fixed
S17,326,0.5950920245398773,0.5111111111111111,0.3933344611740822,15,fixed
S2,295,0.6169491525423729,0.5,0.38155136268343814,15,fixed
S3,301,0.7408637873754153,0.6694915254237288,0.6653267191241875,15,fixed
S4,304,1.0,1.0,1.0,15,fixed
S5,314,0.7038216560509554,0.6092436974789917,0.5830370529021204,15,fixed
S6,312,0.9423076923076923,0.9256198347107438,0.9373214285714285,15,fixed
S7,311,0.977491961414791,0.9703389830508475,0.9758103047879374,15,fixed
S8,312,0.875,0.842741935483871,0.8597106127860725,15,fixed
S9,311,1.0,1.0,1.0,15,fixed
S10,411,0.9659367396593674,0.9613929146537843,0.9613929146537843,15,per_n
S11,402,0.835820895522388,0.7380952380952381,0.7691825869088631,15,per_n
S13,402,0.9378109452736318,0.9550359712230216,0.9306719645702697,15,per_n
S14,402,0.8109452736318408,0.8299689440993789,0.7973844072472611,15,per_n
S15,403,0.9454094292803971,0.9474715909090909,0.938276246170983,15,per_n
S16,400,0.77,0.8327272727272728,0.7650603948006844,15,per_n
S17,411,0.6788321167883211,0.5111111111111111,0.42524790236460713,15,per_n
S2,380,0.7026315789473684,0.5,0.4126738794435858,15,per_n
S3,386,0.7979274611398963,0.6694915254237288,0.689646641652579,15,per_n
S4,389,1.0,1.0,1.0,15,per_n
S5,399,0.7669172932330827,0.6092436974789917,0.60810054390875,15,per_n
S6,397,0.9546599496221663,0.9256198347107438,0.944031954887218,15,per_n
S7,396,0.9823232323232324,0.9703389830508475,0.978499460935258,15,per_n
S8,397,0.9017632241813602,0.842741935483871,0.8733652312599681,15,per_n
S9,396,1.0,1.0,1.0,15,per_n
S10,326,0.8926380368098159,0.8844871049059531,0.8881931583227993,20,fixed
S11,317,0.8201892744479495,0.7738095238095238,0.7889258804976345,20,fixed
S13,317,0.9463722397476341,0.9516337957546381,0.9445148005148005,20,fixed
S14,317,0.943217665615142,0.9380245990193634,0.940393615243189,20,fixed
S15,318,0.9182389937106918,0.9315789473684211,0.9171775453780502,20,fixed
S16,315,0.7365079365079366,0.781578947368421,0.7356447356447356,20,fixed
S17,326,0.7822085889570553,0.737037037037037,0.7432415942848902,20,fixed
S2,295,0.6101694915254238,0.4945054945054945,0.37894736842105264,20,fixed
S3,301,0.717607973421927,0.6398305084745762,0.6243080130981924,20,fixed
S4,304,1.0,1.0,1.0,20,fixed
S5,314,0.6656050955414012,0.5588235294117647,0.49920255183413076,20,fixed
S6,312,0.9006410256410257,0.8809874085933105,0.8918399069590598,20,fixed
S7,311,0.977491961414791,0.9703389830508475,0.9758103047879374,20,fixed
S8,312,0.9166666666666666,0.8951612903225806,0.90910313298373,20,fixed
S9,311,1.0,1.0,1.0,20,fixed
S10,406,0.9137931034482759,0.89453327866612,0.9011897559991934,20,per_n
S11,397,0.8564231738035264,0.7738095238095238,0.8062668550147682,20,per_n
S13,397,0.9571788413098237,0.962262200165426,0.9512936167141774,20,per_n
S14,397,0.9546599496221663,0.9434340771979148,0.9472261609358383,20,per_n
S15,398,0.9346733668341709,0.9518518518518518,0.9286088804260838,20,per_n
S16,395,0.789873417721519,0.8462962962962963,0.7845657473666225,20,per_n
S17,406,0.8251231527093597,0.737037037037037,0.7636961315550017,20,per_n
S2,375,0.6933333333333334,0.4961832061068702,0.4094488188976378,20,per_n
S3,381,0.7769028871391076,0.6398305084745762,0.6489849448846208,20,per_n
S4,384,1.0,1.0,1.0,20,per_n
S5,394,0.733502538071066,0.5588235294117647,0.5251104861390117,20,per_n
S6,392,0.9209183673469388,0.885624104174926,0.9028640400310144,20,per_n
S7,391,0.9820971867007673,0.9703389830508475,0.9783870432811896,20,per_n
S8,392,0.9336734693877551,0.8951612903225806,0.9183097688435766,20,per_n
S9,391,1.0,1.0,1.0,20,per_n
S10,326,0.8680981595092024,0.8754896257514059,0.8665600517843715,25,fixed
S11,317,0.8012618296529969,0.75,0.7625468164794007,25,fixed
S13,317,0.9369085173501577,0.9467449440080227,0.9352321019941157,25,fixed
S14,317,0.9305993690851735,0.9221515831463476,0.926712904581757,25,fixed
S15,318,0.9088050314465409,0.9236842105263158,0.9078122657070026,25,fixed
S16,315,0.7746031746031746,0.8131578947368421,0.7745213682968877,25,fixed
S17,326,0.7791411042944786,0.7333333333333334,0.7388866639967961,25,fixed
S2,295,0.6135593220338983,0.49725274725274726,0.3802521008403361,25,fixed
