subject,n_test,accuracy,balanced_acc,macro_f1,n_ref,eval
S10,326,0.9447852760736196,0.9333333333333333,0.9417857142857142,10,fixed
S11,317,0.8738170347003155,0.845321200033242,0.8601799576570219,10,fixed
S13,317,0.8990536277602523,0.9170984455958548,0.8976594027441485,10,fixed
S14,317,0.61198738170347,0.6780104712041884,0.5985482625482625,10,fixed
S15,318,0.8553459119496856,0.8789473684210527,0.8549787841535472,10,fixed
S16,315,0.8158730158730159,0.8473684210526315,0.8157820440429135,10,fixed
S17,326,0.8006134969325154,0.7690323831685089,0.7785025139285229,10,fixed
S2,295,0.6169491525423729,0.5,0.38155136268343814,10,fixed
S3,301,0.7475083056478405,0.6779661016949152,0.676527149321267,10,fixed
S4,304,1.0,1.0,1.0,10,fixed
S5,314,0.678343949044586,0.5756302521008403,0.5285355374849481,10,fixed
S6,312,0.9519230769230769,0.9380165289256198,0.9480686647654768,10,fixed
S7,311,0.9871382636655949,0.9830508474576272,0.9862511052166225,10,fixed
S8,312,0.8301282051282052,0.839824982841455,0.8274318274318275,10,fixed
S9,311,1.0,1.0,1.0,10,fixed
S10,416,0.9567307692307693,0.9333333333333333,0.948768472906404,10,per_n
S11,407,0.9017199017199017,0.8478365248827883,0.8746998337540792,10,per_n
S13,407,0.8869778869778869,0.9187279151943463,0.8775379382522239,10,per_n
S14,407,0.6977886977886978,0.7811387900355872,0.6959088838268792,10,per_n
S15,408,0.8872549019607843,0.9178571428571429,0.8790939778905867,10,per_n
S16,405,0.8567901234567902,0.8964285714285714,0.848075231541367,10,per_n
S17,416,0.84375,0.7765783577171477,0.8008939156302695,10,per_n
S2,385,0.7064935064935065,0.5,0.4140030441400304,10,per_n
S3,391,0.8056265984654731,0.6779661016949152,0.7014067524115756,10,per_n
S4,394,1.0,1.0,1.0,10,per_n
S5,404,0.75,0.5756302521008403,0.5561260565448671,10,per_n
S6,402,0.9626865671641791,0.9380165289256198,0.9539620855251605,10,per_n
S7,401,0.9900249376558603,0.9830508474576272,0.987870538415003,10,per_n
S8,402,0.8109452736318408,0.8320375957298678,0.7968184720153224,10,per_n
S9,401,1.0,1.0,1.0,10,per_n
S10,326,0.9662576687116564,0.9592592592592593,0.9647695678230029,15,fixed
S11,317,0.8391167192429022,0.7976190476190477,0.8142428733928511,15,fixed
S13,317,0.9337539432176656,0.9455958549222798,0.9321994194632581,15,fixed
S14,317,0.804416403785489,0.8174395412615307,0.8022736418511066,15,fixed
S15,318,0.9213836477987422,0.9252878289473685,0.9193081818458634,15,fixed
S16,315,0.8253968253968254,0.8552631578947368,0.825220680958386,15,fixed
S17,326,0.696319018404908,0.6333333333333333,0.6076157128788708,15,fixed
S2,295,0.6169491525423729,0.5,0.38155136268343814,15,fixed
S3,301,0.7375415282392026,0.6652542372881356,0.6596435983682817,15,fixed
S4,304,1.0,1.0,1.0,15,fixed
S5,314,0.7165605095541401,0.6260504201680672,0.6084404029647896,15,fixed
S6,312,0.9391025641025641,0.921487603305785,0.9337083300716817,15,fixed
S7,311,0.9839228295819936,0.978813559322034,0.982783627284906,15,fixed
S8,312,0.9134615384615384,0.8911290322580645,0.9054152678441103,15,fixed
S9,311,1.0,1.0,1.0,15,fixed
S10,411,0.9732360097323601,0.9592592592592593,0.9689953846259352,15,per_n
S11,402,0.8731343283582089,0.7976190476190477,0.8308457711442787,15,per_n
S13,402,0.917910447761194,0.9406474820143884,0.9097323816198635,15,per_n
S14,402,0.8432835820895522,0.8535196687370601,0.8287800425920292,15,per_n
S15,403,0.9379652605459057,0.9399289772727273,0.9299924259795849,15,per_n
S16,400,0.8625,0.9,0.8542805100182149,15,per_n
S17,411,0.7591240875912408,0.6333333333333333,0.6344894494300266,15,per_n
S2,380,0.7026315789473684,0.5,0.4126738794435858,15,per_n
S3,386,0.7953367875647669,0.6652542372881356,0.6841800010356791,15,per_n
S4,389,1.0,1.0,1.0,15,per_n
S5,399,0.7769423558897243,0.6260504201680672,0.6327752556850498,15,per_n
S6,397,0.9521410579345088,0.921487603305785,0.940761625030432,15,per_n
S7,396,0.9873737373737373,0.978813559322034,0.9847211611917495,15,per_n
S8,397,0.9319899244332494,0.8911290322580645,0.9153538177252375,15,per_n
S9,396,1.0,1.0,1.0,15,per_n
S10,326,0.9539877300613497,0.954217568353694,0.9527385543216678,20,fixed
S11,317,0.8738170347003155,0.8426202941909748,0.8589230084557187,20,fixed
S13,317,0.9463722397476341,0.9530753802440247,0.9446447464382197,20,fixed
S14,317,0.9495268138801262,0.9581151832460733,0.9482913302340755,20,fixed
S15,318,0.9213836477987422,0.9342105263157895,0.9203047466292416,20,fixed
S16,315,0.7904761904761904,0.8263157894736842,0.7904740788518907,20,fixed
S17,326,0.9141104294478528,0.8962962962962964,0.9080024188671639,20,fixed
S2,295,0.6101694915254238,0.4945054945054945,0.37894736842105264,20,fixed
S3,301,0.7009966777408638,0.6186440677966102,0.5930966113914924,20,fixed
S4,304,1.0,1.0,1.0,20,fixed
S5,314,0.7643312101910829,0.6890756302521008,0.6946488645920943,20,fixed
S6,312,0.8525641025641025,0.822032798234607,0.8356841912438175,20,fixed
S7,311,0.9710610932475884,0.961864406779661,0.9687838063904534,20,fixed
S8,312,0.9358974358974359,0.9193548387096775,0.9308878256246678,20,fixed
S9,311,1.0,1.0,1.0,20,fixed
S10,406,0.9630541871921182,0.9611726117261172,0.9586128157556728,20,per_n
S11,397,0.8992443324937027,0.8433930767879108,0.8720592974540766,20,per_n
S13,397,0.9546599496221663,0.9626314545669384,0.9487315617287493,20,per_n
S14,397,0.9596977329974811,0.9704797047970479,0.9549401282560581,20,per_n
S15,398,0.9371859296482412,0.9537037037037037,0.9312441695746813,20,per_n
S16,395,0.8329113924050633,0.8777777777777778,0.8259493670886076,20,per_n
S17,406,0.9310344827586207,0.8962962962962964,0.9175873568218066,20,per_n
S2,375,0.6933333333333334,0.4961832061068702,0.4094488188976378,20,per_n
S3,381,0.7637795275590551,0.6186440677966102,0.6187288738658602,20,per_n
S4,384,1.0,1.0,1.0,20,per_n
S5,394,0.8121827411167513,0.6890756302521008,0.7150953721075672,20,per_n
S6,392,0.8826530612244898,0.8282150590100943,0.851299643752474,20,per_n
S7,391,0.9769820971867008,0.961864406779661,0.9720681033456364,20,per_n
S8,392,0.9489795918367347,0.9193548387096775,0.9381547393664016,20,per_n
S9,391,1.0,1.0,1.0,20,per_n
S10,326,0.8343558282208589,0.8510374248594144,0.8339558573853989,25,fixed
S11,317,0.7949526813880127,0.7474653037480263,0.7593014426727411,25,fixed
S13,317,0.8990536277602523,0.9142152766170817,0.8973362480770788,25,fixed
S14,317,0.9463722397476341,0.9433433059087509,0.94394224667908,25,fixed
S15,318,0.9119496855345912,0.9263157894736842,0.9109314980793854,25,fixed
S16,315,0.8158730158730159,0.8473684210526315,0.8157820440429135,25,fixed
S17,326,0.8650306748466258,0.837037037037037,0.8510116747683742,25,fixed
S2,295,0.6135593220338983,0.49725274725274726,0.3802521008403361,25,fixed
S3,301,0.7109634551495017,0.6313559322033898,0.6120272012089426,25,fixed
S4,304,1.0,1.0,1.0,25,fixed
S5,314,0.6910828025477707,0.592436974789916,0.556439046412396,25,fixed
S6,312,0.8814102564102564,0.8501362987322054,0.8669049403355047,25,fixed
S7,311,0.9646302250803859,0.9533898305084746,0.9617016512734398,25,fixed
S8,312,0.9455128205128205,0.9314516129032258,0.9415749644757279,25,fixed
S9,311,0.9967845659163987,0.9957983193277311,0.9965915940599486,25,fixed
S10,401,0.8653366583541147,0.8857282094124199,0.8580251770259638,25,per_n
S11,392,0.8341836734693877,0.7504177109440268,0.7781550650820599,25,per_n
S13,392,0.8801020408163265,0.9079802599903708,0.8715766434551069,25,per_n
S14,392,0.9566326530612245,0.9492481203007519,0.9501879910003512,25,per_n
S15,393,0.9287531806615776,0.9471698113207547,0.9228157791369733,25,per_n
S16,390,0.8512820512820513,0.8905660377358491,0.8444034778780541,25,per_n
S17,401,0.8902743142144638,0.837037037037037,0.8644604228121928,25,per_n
S2,370,0.6918918918918919,0.4980544747081712,0.40894568690095845,25,per_n
S3,376,0.7686170212765957,0.6313559322033898,0.6359143877925807,25,per_n
S4,379,1.0,1.0,1.0,25,per_n
