subject,n_test,accuracy,balanced_acc,macro_f1,n_ref,eval
S10,326,0.9723926380368099,0.9688384719798333,0.9713909609477841,10,fixed
S11,317,0.8706624605678234,0.8697124574087924,0.8661827541827543,10,fixed
S13,317,0.9305993690851735,0.9415635968577636,0.9289005790718539,10,fixed
S14,317,0.5457413249211357,0.6230366492146597,0.5156608097784569,10,fixed
S15,318,0.7861635220125787,0.8210526315789474,0.7860873694207027,10,fixed
S16,315,0.6825396825396826,0.7368421052631579,0.6785714285714286,10,fixed
S17,326,0.6226993865030674,0.5444444444444444,0.4598504748434027,10,fixed
S2,295,0.6169491525423729,0.5,0.38155136268343814,10,fixed
S3,301,0.7475083056478405,0.6824812447902195,0.6839283740466453,10,fixed
S4,304,1.0,1.0,1.0,10,fixed
S5,314,0.8598726114649682,0.8151260504201681,0.8359066939046986,10,fixed
S6,312,1.0,1.0,1.0,10,fixed
S7,311,0.9163987138263665,0.8898305084745763,0.9065418400369857,10,fixed
S8,312,0.8942307692307693,0.8669354838709677,0.8829135156649799,10,fixed
S9,311,1.0,1.0,1.0,10,fixed
S10,416,0.9783653846153846,0.9705153552128641,0.9750823599880203,10,per_n
S11,407,0.8452088452088452,0.8506891487318533,0.8288009187236685,10,per_n
S13,407,0.9459459459459459,0.9588652684372507,0.9388087037340769,10,per_n
S14,407,0.6339066339066339,0.7348754448398577,0.6338270546394305,10,per_n
S15,408,0.8333333333333334,0.8785714285714286,0.8259560373381511,10,per_n
S16,405,0.7506172839506173,0.8196428571428571,0.7461035696329814,10,per_n
S17,416,0.7043269230769231,0.5444444444444444,0.49185163116341424,10,per_n
S2,385,0.7064935064935065,0.5,0.4140030441400304,10,per_n
S3,391,0.8056265984654731,0.6851834606071894,0.7093960256610858,10,per_n
S4,394,1.0,1.0,1.0,10,per_n
S5,404,0.8910891089108911,0.8151260504201681,0.8507673192518217,10,per_n
S6,402,1.0,1.0,1.0,10,per_n
S7,401,0.9351620947630923,0.8898305084745763,0.9161357786357787,10,per_n
S8,402,0.917910447761194,0.8669354838709677,0.8952422316105342,10,per_n
S9,401,1.0,1.0,1.0,10,per_n
S10,326,0.9846625766871165,0.9869109947643979,0.9842777911743429,15,fixed
S11,317,0.6214511041009464,0.6534530042383446,0.6212664277180406,15,fixed
S13,317,0.8675078864353313,0.8911917098445596,0.8665396952686448,15,fixed
S14,317,0.6971608832807571,0.6339026011800881,0.6250739207569486,15,fixed
S15,318,0.8679245283018868,0.8894736842105263,0.867400023827489,15,fixed
S16,315,0.638095238095238,0.7,0.6291208791208791,15,fixed
S17,326,0.6165644171779141,0.537037037037037,0.44569135550567907,15,fixed
S2,295,0.6169491525423729,0.5,0.38155136268343814,15,fixed
S3,301,0.7209302325581395,0.6440677966101696,0.6303508771929824,15,fixed
S4,304,1.0,1.0,1.0,15,fixed
S5,314,0.9012738853503185,0.8697478991596639,0.8883036708090927,15,fixed
S6,312,0.9711538461538461,0.9658387780710485,0.9693847512511039,15,fixed
S7,311,0.9003215434083601,0.8686440677966102,0.8872199801134701,15,fixed
S8,312,0.6410256410256411,0.5483870967741935,0.4734811957569913,15,fixed
S9,311,1.0,1.0,1.0,15,fixed
S10,411,0.9878345498783455,0.9909420289855073,0.9863387069968423,15,per_n
S11,402,0.6194029850746269,0.6710662525879918,0.6145733461169702,15,per_n
S13,402,0.8955223880597015,0.9244604316546763,0.886730175768147,15,per_n
S14,402,0.7611940298507462,0.6427708764665286,0.6536597623577557,15,per_n
S15,403,0.8957816377171216,0.9236363636363636,0.8881916186651165,15,per_n
S16,400,0.7075,0.7872727272727273,0.7054955289438742,15,per_n
S17,411,0.6958637469586375,0.537037037037037,0.47664646258849896,15,per_n
S2,380,0.7026315789473684,0.5,0.4126738794435858,15,per_n
S3,386,0.7823834196891192,0.6440677966101696,0.6559422750424448,15,per_n
S4,389,1.0,1.0,1.0,15,per_n
S5,399,0.9223057644110275,0.8697478991596639,0.8988940385982982,15,per_n
S6,397,0.9773299748110831,0.9674511917594921,0.9729336636138446,15,per_n
S7,396,0.9217171717171717,0.8686440677966102,0.8979847924543981,15,per_n
S8,397,0.7178841309823678,0.5483870967741935,0.5031289111389237,15,per_n
S9,396,1.0,1.0,1.0,15,per_n
S10,326,0.49079754601226994,0.5654450261780105,0.4253737682636765,20,fixed
S11,317,0.580441640378549,0.6383279315216488,0.5705963232673015,20,fixed
S13,317,0.8138801261829653,0.8385007521310379,0.8129793510324483,20,fixed
S14,317,0.7192429022082019,0.6562785672733317,0.6512133911903968,20,fixed
S15,318,0.9308176100628931,0.9421052631578948,0.9297053976930187,20,fixed
S16,315,0.6253968253968254,0.6894736842105263,0.6144830733488218,20,fixed
S17,326,0.6134969325153374,0.5333333333333333,0.43848425196850394,20,fixed
S2,295,0.6101694915254238,0.4945054945054945,0.37894736842105264,20,fixed
S3,301,0.707641196013289,0.6271186440677966,0.6057864031432314,20,fixed
S4,304,1.0,1.0,1.0,20,fixed
S5,314,0.9331210191082803,0.9117647058823529,0.926065457970332,20,fixed
S6,312,0.9711538461538461,0.9673532084288867,0.969483236428843,20,fixed
S7,311,0.9003215434083601,0.8867568279617107,0.8924775553448949,20,fixed
S8,312,0.9294871794871795,0.9112903225806452,0.9236892426735447,20,fixed
S9,311,0.977491961414791,0.9817708333333333,0.9764304660856384,20,fixed
S10,406,0.5763546798029556,0.6826568265682657,0.5729974318209612,20,per_n
S11,397,0.5793450881612091,0.6706495636384935,0.5793344119793153,20,per_n
S13,397,0.8513853904282116,0.8787368545433062,0.8408817635270541,20,per_n
S14,397,0.7758186397984886,0.6616880454518831,0.6764643939602047,20,per_n
S15,398,0.9447236180904522,0.9592592592592593,0.9391961334407377,20,per_n
S16,395,0.6962025316455697,0.7777777777777778,0.6949806949806949,20,per_n
S17,406,0.6896551724137931,0.5333333333333333,0.468188622754491,20,per_n
S2,375,0.6933333333333334,0.4961832061068702,0.4094488188976378,20,per_n
S3,381,0.7690288713910761,0.6271186440677966,0.6310414649176864,20,per_n
S4,384,1.0,1.0,1.0,20,per_n
S5,394,0.9467005076142132,0.9117647058823529,0.9332241116321112,20,per_n
S6,392,0.9770408163265306,0.9696715562196945,0.9729146673832099,20,per_n
S7,391,0.9207161125319693,0.8951077171416155,0.903790133746081,20,per_n
S8,392,0.9438775510204082,0.9112903225806452,0.931614171979573,20,per_n
S9,391,0.9820971867007673,0.9871323529411764,0.9791965948390529,20,per_n
S10,326,0.8251533742331288,0.8442699243746364,0.8249540765861241,25,fixed
S11,317,0.5930599369085173,0.6542009473946646,0.5818070256174259,25,fixed
S13,317,0.8422712933753943,0.8675831522647501,0.841436574629852,25,fixed
S14,317,0.6813880126182965,0.6086595196542841,0.5862634877560251,25,fixed
S15,318,0.9339622641509434,0.9447368421052631,0.9328459519523747,25,fixed
S16,315,0.6571428571428571,0.7157894736842105,0.6506325994084785,25,fixed
S17,326,0.588957055214724,0.5037037037037037,0.3775079799361605,25,fixed
S2,295,0.6101694915254238,0.4945054945054945,0.37894736842105264,25,fixed
S3,301,0.7275747508305648,0.652542372881356,0.6422483766233766,25,fixed
S4,304,1.0,1.0,1.0,25,fixed
S5,314,0.964968152866242,0.953781512605042,0.9620552143869401,25,fixed
S6,312,0.9839743589743589,0.9823677036908831,0.9830991408729943,25,fixed
S7,311,0.9356913183279743,0.9152542372881356,0.9290731618317825,25,fixed
S8,312,0.9711538461538461,0.9637096774193548,0.969483236428843,25,fixed
S9,311,0.9807073954983923,0.9747899159663865,0.9793766578249337,25,fixed
S10,401,0.8379052369077307,0.8668755221386801,0.8315311181059613,25,per_n
S11,392,0.576530612244898,0.6754385964912281,0.5759897828863346,25,per_n
S13,392,0.8698979591836735,0.9005175734232065,0.8614120827700946,25,per_n
S14,392,0.7423469387755102,0.6138262322472849,0.6123561952318011,25,per_n
S15,393,0.9465648854961832,0.960377358490566,0.9414651791223678,25,per_n
S16,390,0.7230769230769231,0.7962264150943397,0.7211999258651275,25,per_n
S17,401,0.6658354114713217,0.5037037037037037,0.40675234057586995,25,per_n
S2,370,0.6891891891891891,0.4961089494163424,0.408,25,per_n
S3,376,0.7819148936170213,0.652542372881356,0.6652043608565348,25,per_n
S4,379,1.0,1.0,1.0,25,per_n
S5,389,0.9717223650385605,0.953781512605042,0.9657890739304589,25,per_n
S6,387,0.9870801033591732,0.9838439072888834,0.9849361244968977,25,per_n
S7,386,0.9481865284974094,0.9152542372881356,0.9357180921929124,25,per_n
S8,387,0.9767441860465116,0.9637096774193548,0.9727603331638838,25,per_n
S9,386,0.9844559585492227,0.9747899159663865,0.9815134099616858,25,per_n
S10,326,0.7515337423312883,0.783614504556913,0.7508562370856804,30,fixed
S11,317,0.7697160883280757,0.8089005235602094,0.7695693303460294,30,fixed
