subject,n_ref,p99_abs_z,max_abs_z,clipped_frac,n_degenerate_divisors,degenerate_features
S10,30,20.0,20.0,0.17676056338028168,1,eda_scr_count
S11,30,12.945809003621447,20.0,0.00023980815347721823,0,
S13,30,20.0,20.0,0.05707434052757794,0,
S14,30,6.53558725094527,16.42736796386195,0.0,0,
S15,30,20.0,20.0,0.045933014354066985,0,
S16,30,20.0,20.0,0.09036144578313253,5,eda_scr_count;eda_scr_amp_sum;eda_scr_amp_mean;eda_scr_risetime_mean;eda_scr_duration_sum
S17,30,13.346326982825229,20.0,0.0007042253521126761,0,
S2,30,2.9351949641159405,15.74054054054054,0.0,0,
S3,30,8.913889008083688,20.0,0.0012468827930174563,0,
S4,30,20.0,20.0,0.13391089108910892,5,eda_scr_count;eda_scr_amp_sum;eda_scr_amp_mean;eda_scr_risetime_mean;eda_scr_duration_sum
S5,30,14.515242078090806,17.58316555242262,0.0,0,
S6,30,14.319660879682944,20.0,0.002184466019417476,0,
S7,30,17.175050084711454,20.0,0.008029197080291971,0,
S8,30,7.065092866563968,11.043119450405745,0.0,5,eda_scr_count;eda_scr_amp_sum;eda_scr_amp_mean;eda_scr_risetime_mean;eda_scr_duration_sum
S9,30,20.0,20.0,0.014841849148418492,5,eda_scr_count;eda_scr_amp_sum;eda_scr_amp_mean;eda_scr_risetime_mean;eda_scr_duration_sum
S10,100,20.0,20.0,0.09225352112676057,0,
S11,100,5.838447614060296,10.551228176223082,0.0,0,
S13,100,13.26404341913334,20.0,0.001199040767386091,0,
S14,100,12.478935474826168,20.0,0.005995203836930456,5,eda_scr_count;eda_scr_amp_sum;eda_scr_amp_mean;eda_scr_risetime_mean;eda_scr_duration_sum
S15,100,20.0,20.0,0.045933014354066985,0,
S16,100,20.0,20.0,0.12240963855421687,5,eda_scr_count;eda_scr_amp_sum;eda_scr_amp_mean;eda_scr_risetime_mean;eda_scr_duration_sum
S17,100,18.210798607546625,20.0,0.008450704225352112,0,
S2,100,5.8604418376278735,20.0,0.0010126582278481013,0,
S3,100,6.814261159096533,19.210141342823494,0.0,0,
S4,100,20.0,20.0,0.12376237623762376,5,eda_scr_count;eda_scr_amp_sum;eda_scr_amp_mean;eda_scr_risetime_mean;eda_scr_duration_sum
S5,100,20.0,20.0,0.018115942028985508,0,
S6,100,20.0,20.0,0.03228155339805825,0,
S7,100,18.083125432238564,20.0,0.00754257907542579,0,
S8,100,20.0,20.0,0.0220873786407767,5,eda_scr_count;eda_scr_amp_sum;eda_scr_amp_mean;eda_scr_risetime_mean;eda_scr_duration_sum
S9,100,12.349790539879994,13.463872190861773,0.0,5,eda_scr_count;eda_scr_amp_sum;eda_scr_amp_mean;eda_scr_risetime_mean;eda_scr_duration_sum
