subject,n_test,accuracy,balanced_acc,macro_f1,n_ref,eval
S10,326,0.9202453987730062,0.9221640488656195,0.9184780517831724,100,per_n
S11,317,0.804416403785489,0.753968253968254,0.7670222854433381,100,per_n
S13,317,0.9022082018927445,0.8966237673407988,0.8971952839761898,100,per_n
S14,317,0.6656151419558359,0.5793650793650793,0.5283797439928138,100,per_n
S15,318,0.8270440251572327,0.8552631578947368,0.82696017808558,100,per_n
S16,315,0.8476190476190476,0.8736842105263158,0.8471739306218161,100,per_n
S17,326,0.7085889570552147,0.6481481481481481,0.6289907157831686,100,per_n
S2,295,0.7627118644067796,0.6936205387532821,0.6998546511627908,100,per_n
S3,301,0.7441860465116279,0.673728813559322,0.6709541860101935,100,per_n
S4,304,1.0,1.0,1.0,100,per_n
S5,314,0.9840764331210191,0.9855419090713209,0.983166607696184,100,per_n
S6,312,0.8589743589743589,0.8833023235688633,0.8578293289146645,100,per_n
S7,311,0.9517684887459807,0.9430271362079565,0.9481649388312944,100,per_n
S8,312,0.9807692307692307,0.9758064516129032,0.9797499026437627,100,per_n
S9,311,0.9871382636655949,0.9831932773109244,0.9862983522777338,100,per_n
S10,276,0.9384057971014492,0.9376674546887313,0.9382233281984438,150,per_n
S11,267,0.6666666666666666,0.6468253968253969,0.60704777338647,150,per_n
S13,267,0.8614232209737828,0.8609857884051433,0.8607905305432255,150,per_n
S14,267,0.602996254681648,0.5793650793650793,0.500388363225533,150,per_n
S15,268,0.8955223880597015,0.9,0.8951486697965572,150,per_n
S16,265,0.8905660377358491,0.8964285714285714,0.8902597495323366,150,per_n
S17,276,0.6702898550724637,0.662962962962963,0.6238261416568065,150,per_n
S2,245,0.7224489795918367,0.7003888441941539,0.6864649202047577,150,per_n
S3,251,0.7171314741035857,0.6991525423728814,0.6795072385576837,150,per_n
S4,254,1.0,1.0,1.0,150,per_n
S5,264,0.7651515151515151,0.7862068965517242,0.7607017543859649,150,per_n
S6,262,0.8778625954198473,0.8865248226950355,0.8776058394160584,150,per_n
S7,261,0.8275862068965517,0.8263600805973688,0.8261159227181878,150,per_n
S8,262,0.9656488549618321,0.9637096774193548,0.9653820744329442,150,per_n
S9,261,0.9003831417624522,0.9002840572848858,0.8997340425531914,150,per_n
S10,226,0.9380530973451328,0.9481481481481482,0.9369419642857143,200,per_n
S11,217,0.5898617511520737,0.6468253968253969,0.5627872229642542,200,per_n
S13,217,0.7741935483870968,0.7795698924731183,0.7729592381440438,200,per_n
S14,217,0.5069124423963134,0.5753968253968254,0.4459133754921847,200,per_n
S15,218,0.8944954128440367,0.8722222222222222,0.8855329543638564,200,per_n
S16,215,0.9162790697674419,0.9,0.9108623548922057,200,per_n
S17,226,0.6991150442477876,0.7481481481481481,0.6956831683168316,200,per_n
S2,195,0.7692307692307693,0.7975393913231168,0.7686222808174028,200,per_n
S3,201,0.6368159203980099,0.687104349601797,0.6261179768123328,200,per_n
S4,204,0.9362745098039216,0.9252873563218391,0.9333115397188623,200,per_n
S5,214,0.9766355140186916,0.9736842105263157,0.9761984206428651,200,per_n
S6,212,0.7594339622641509,0.7197802197802198,0.7183127947268322,200,per_n
S7,211,0.8909952606635071,0.902542372881356,0.8909854662263854,200,per_n
S8,212,0.8254716981132075,0.8508064516129032,0.8254678147876199,200,per_n
S9,211,0.985781990521327,0.9873949579831933,0.9855956309022642,200,per_n
S11,117,0.8632478632478633,0.8490566037735849,0.8555555555555555,300,per_n
S14,117,0.6068376068376068,0.5576923076923077,0.4727664576802508,300,per_n
S16,115,0.8695652173913043,0.8788296568627452,0.8695257544815067,300,per_n
S2,95,1.0,1.0,1.0,300,per_n
S3,101,0.6435643564356436,0.5,0.39156626506024095,300,per_n
S6,112,0.8125,0.8266775777414075,0.812125569134915,300,per_n
S9,111,1.0,1.0,1.0,300,per_n
