subject,n_stress,n_rest,eda_scl_mean,eda_scr_count,eda_scr_amp_sum,eda_range,eda_scl_sd,phasic_best,n_ref,first_t,n_zero_iqr,min_iqr,worst_feature,p50,p99,frac_clipped
S17,135,291,-1.3871915850861931,1.3393176134683522,1.1980478987564809,1.2918314787824128,0.7896222372270787,1.3393176134683522,100,90.0,4,0.0006468413214639177,motion_flag,0.6229675521291368,18.75492640553366,0.008346374543557642
S11,126,291,0.1739164362561102,2.1716083116256577,2.5605366371631337,1.5939192278318144,0.6544675075323823,2.5605366371631337,100,80.0,4,0.00512231402932339,motion_flag,0.6050573734222378,13.049015564702792,0.0020650146549427125
S3,118,283,1.0103777552531596,1.0464020962456915,1.366938016840611,1.5091561430218052,0.9339651044541287,1.5091561430218052,100,350.0,4,0.01201011900423618,motion_flag,0.5615246562346663,6.446835370528537,0.0
S7,118,293,1.7804648449662461,1.8743009484654019,1.9161502960130388,1.9564282945039948,2.1027501328339824,1.9564282945039948,100,95.0,4,0.004995258743641389,motion_flag,0.5226933488936338,15.41909940599365,0.003311705866450392
S14,126,291,2.332890388312196,0.10742742980485523,0.3870571720431479,0.6919508669224516,0.8932207694411449,0.6919508669224516,100,25.0,9,0.00014008351967916195,eda_scr_count,0.4046947494517172,14.552327930716924,0.006727950972555289
S2,113,282,2.910371767633929,2.0594788227920273,1.010176906333557,0.5967061342546011,0.001244827989403867,2.0594788227920273,100,305.0,4,0.002180437555773532,motion_flag,0.6285412506364317,7.978479864636209,0.00035161744022503517
S13,124,293,5.157312507928457,1.3623390764502845,2.249124685631971,1.3635923033019648,2.0293956449080683,2.249124685631971,100,85.0,4,0.005621174123682762,motion_flag,0.5,8.807813023173448,0.0003330668798294698
S8,124,288,5.545115871142829,4.366547518856053,3.321370821807558,3.920775126698876,3.162485649734666,4.366547518856053,100,155.0,9,0.00046438885527526276,eda_scr_count,0.4925999544863104,13.002166140093774,0.006135382955771305
S15,128,290,6.96830162978869,2.8824229304784996,2.713399149142972,2.93165301094993,2.0068616608805594,2.93165301094993,100,105.0,4,0.00041690141799336877,motion_flag,0.6666666666666671,20.0,0.020800106326422117
S5,119,295,7.608627352853893,3.98891771904601,3.3755975694909934,3.1543194644900128,0.7100877958123988,3.98891771904601,100,275.0,4,0.0013098174799041648,motion_flag,0.4791960038236349,9.066436256157635,0.005032206119162641
S10,135,291,8.494751639835489,2.947201148677731,1.7165188468152288,2.2131665245080567,2.220526502926028,2.947201148677731,100,90.0,4,0.0002627164777166286,motion_flag,0.6730769230769231,20.0,0.025625978090766822
S16,125,290,9.138791451285412,3.5150137314488594,2.5666978336487016,3.745417094476873,2.738527048484761,3.745417094476873,100,95.0,9,0.00016881885666417948,eda_scr_count,0.7333333333333331,20.0,0.03848728246318608
S9,119,292,10.408379722181818,6.243672687094132,5.622455161158062,2.943722076748993,2.19242295692939,6.243672687094132,100,70.0,9,0.0002452793199534698,eda_scr_count,0.5395066790294611,13.070674404747377,0.006758583400919167
S6,121,291,11.196460129343887,2.4757491731974066,3.2002084281708845,3.7085477447250783,2.551690411253108,3.7085477447250783,100,640.0,4,0.004974803351620698,motion_flag,0.4577114427860697,18.30474936762776,0.008967098166127292
S4,117,287,17.144280606869476,7.332658716078402,3.884240359969767,5.9680719967466125,3.847318530075243,7.332658716078402,100,280.0,9,0.00014974801125019593,eda_scr_count,0.6237219547593917,20.0,0.05644939493949395
